tick,MEMRD_ADDR,MEMRD_DATA,RAM_IDX,RAM_Q,CSA_12_0,s_maclk,BDRY
44005217,0,0,22011,705200,4341,1,0
44005218,0,0,22011,705200,4341,0,0
44005219,0,0,22011,705200,4345,0,0
44005220,0,0,22011,705200,4345,0,0
44005221,0,0,22011,705200,4345,0,0
44005222,5252,0,22011,705200,4345,0,0
# MARK addr tick=44005222
44005223,5252,0,22011,705200,4345,0,0
44005224,0,0,22002,705200,4345,0,0
44005225,0,0,4002,705200,4345,0,0
44005226,0,0,5252,705200,4345,0,0
# MARK ram tick=44005226
44005227,0,0,5252,400400,4345,0,0
44005228,0,0,5252,400400,4345,0,0
44005229,0,0,5252,400400,4345,0,0
44005230,0,0,4000,400400,4345,0,0
44005231,0,0,4002,400400,4345,0,0
44005232,0,0,4002,400400,4345,0,0
44005249,0,0,4002,400400,145,1,0
44005250,0,0,4002,400400,145,0,0
44005251,0,0,4002,400400,0,0,0
44005252,0,0,4002,400400,0,0,0
44005253,0,0,4002,400400,0,0,0
44005254,5252,0,4002,400400,0,0,0
# MARK addr tick=44005254
44005255,5252,0,4002,400400,0,0,0
44005256,0,0,4002,400400,0,0,0
44005257,44400,0,4002,400400,0,0,0
44005258,44400,0,5252,400400,0,1,0
# MARK ram tick=44005258
44005259,44400,0,5252,400400,0,0,0
44005260,44400,0,5252,400400,2001,0,0
44005261,44400,0,5252,400400,16423,0,0
44005262,44400,0,4000,400400,16423,0,0
44005263,44400,0,4002,400400,0,0,0
44005264,0,0,4002,400400,0,0,0
44006949,0,0,22011,304200,4332,1,0
44006950,0,0,22011,304200,4332,0,0
44006951,0,0,22011,304200,4334,0,0
44006952,0,0,22011,304200,4334,0,0
44006953,0,0,22011,304200,4334,0,0
44006954,5252,0,22011,304200,4334,0,0
# MARK addr tick=44006954
44006955,5252,0,22011,304200,4334,0,0
44006956,0,0,22002,304200,4334,0,0
44006957,0,0,4002,304200,4334,0,0
44006958,0,0,5252,304200,4334,0,0
# MARK ram tick=44006958
44006959,0,44400,5252,111400,4334,0,0
44006960,0,44400,5252,111400,4334,0,0
44006961,0,44400,5252,111400,4334,0,0
44006962,0,44400,4000,111400,4334,0,0
44006963,0,0,4002,111400,4334,0,0
44006964,0,0,4002,111400,4334,0,0
44007949,0,0,12005,400400,2001,0,0
44007950,0,0,12005,400400,17504,0,0
44007951,0,0,12005,400400,17504,0,0
44007952,55504,0,12005,400400,0,0,0
44007953,55504,0,12005,400400,6000,1,0
44007954,0,0,12026,400400,6000,1,0
# MARK ram tick=44007954
44007955,0,0,54026,400400,6000,1,0
44007956,0,0,55504,400400,6000,1,0
44007957,0,131451,55504,263051,7314,1,0
44007958,0,131451,55504,263051,7314,1,0
44007959,0,131451,55504,263051,7314,1,0
44007960,0,131451,54000,263051,7314,1,0
44047967,0,0,20010,705200,4341,1,0
44047968,0,0,20010,705200,4341,0,0
44047969,0,0,20010,705200,4345,0,0
44047970,0,0,20010,705200,4345,0,0
44047971,0,0,20010,705200,4345,0,0
44047972,12023,0,20010,705200,4345,0,0
# MARK addr tick=44047972
44047973,12023,0,20010,705200,4345,0,0
44047974,0,0,20005,705200,4345,0,0
44047975,0,0,12005,705200,4345,0,0
44047976,0,0,12023,705200,4345,0,0
# MARK ram tick=44047976
44047977,0,6400,12023,15400,4345,0,0
44047978,0,6400,12023,15400,4345,0,0
44047979,0,6400,12023,15400,4345,0,0
