tick,UART_DIN,UART_CE_n,UART_WR,UART_ADDR,DBR,LDDBRN,CD16,MEMRD_DATA,QREG,RA,CSA_12_0
44040310,70,1,1,0,10044,1,70,0,305,0,522
44040311,70,1,1,0,10044,1,70,0,305,0,523
44040312,70,1,1,0,10044,1,70,0,305,0,527
44040313,30,1,1,0,10044,1,30,0,0,0,527
44040314,30,1,1,0,10044,1,30,0,0,0,527
44040315,30,1,1,0,10044,1,30,0,0,0,530
44040316,0,1,1,0,10044,1,0,0,0,0,530
44040317,0,1,1,0,10044,1,0,0,0,0,531
44040318,0,1,1,0,10044,1,0,0,0,0,531
44040319,30,1,1,0,10044,1,74030,0,0,0,531
44040320,30,1,1,0,10044,1,74030,0,0,0,532
44040321,30,1,1,0,10044,1,74030,0,0,0,532
44040322,0,1,1,0,10044,1,40000,0,74030,0,532
44040323,0,1,1,0,10044,1,40000,0,74030,0,533
44040324,0,1,1,0,10044,1,40000,0,74030,0,537
44040325,0,1,1,0,10044,1,4000,0,74030,0,537
44040326,0,1,1,0,10044,1,4000,0,74030,0,537
44040327,0,1,1,0,10044,1,4000,0,74030,0,540
44040328,2,1,1,0,10044,1,2,0,74030,0,540
44040329,2,1,1,0,10044,1,2,0,74030,0,541
44040330,2,1,1,0,10044,1,2,0,74030,0,476
44040331,1,1,1,0,10044,1,1,0,74030,0,476
44040332,1,1,1,0,10044,1,1,0,74030,0,476
44040333,1,1,1,0,10044,1,1,0,74030,0,0
44040334,30,1,1,3,10044,0,0,0,74030,0,0
44040335,30,1,1,3,10044,0,0,0,74030,0,0
44040336,30,1,1,3,10044,0,0,0,74030,0,2001
44040337,30,1,1,3,10044,0,0,0,74030,0,17107
44040338,30,1,1,3,10044,0,0,0,74030,0,17107
44040339,30,1,1,3,10044,0,0,0,74030,0,0
44040340,30,1,1,3,10044,0,0,0,74030,0,6000
44040341,30,1,1,3,10044,0,0,0,74030,0,6000
44040342,30,1,1,3,10044,0,0,0,74030,0,6000
44040343,30,1,1,3,10044,0,0,0,74030,0,6000
44040344,30,1,1,3,10044,0,175235,175235,74030,0,7752
44040345,30,1,1,3,10044,0,175235,175235,74030,0,7752
44040346,30,1,1,3,10044,0,175235,175235,74030,0,7752
44040347,30,1,1,3,10044,0,175235,175235,74030,0,7752
44040348,30,1,1,3,10044,0,175235,0,74030,0,7752
44040349,30,1,1,3,10044,0,175235,0,74030,0,7752
44040350,30,1,1,3,10044,0,175235,0,74030,0,7752
44040351,30,1,1,0,175235,0,175235,0,74030,0,256
44040352,30,1,1,0,175235,0,74030,0,74030,0,256
44040353,30,1,1,0,175235,0,74030,0,74030,0,257
44040354,44,1,1,0,74030,1,10044,0,74030,0,257
44040355,44,1,1,0,74030,1,10044,0,74030,0,260
44040356,44,1,1,0,74030,1,10044,0,74030,0,264
44040357,377,1,1,0,74030,1,177777,0,74030,0,264
44040358,377,1,1,0,74030,1,177777,0,74030,0,264
44040359,377,1,1,0,74030,1,177777,0,74030,0,265
44040360,10,1,1,0,74030,1,10,0,177777,0,265
44040361,10,1,1,0,74030,1,10,0,177777,0,266
44040362,10,1,1,0,74030,1,10,0,177777,0,266
44040363,43,1,1,0,74030,1,10043,0,177777,0,266
44040364,43,1,1,0,74030,1,10043,0,177777,0,267
44040365,43,1,1,0,74030,1,10043,0,177777,0,0
44040366,0,1,1,3,74030,0,0,0,177777,0,0
44040367,0,1,1,3,74030,0,0,0,177777,0,0
44040368,0,1,1,3,74030,0,0,0,177777,0,2001
44040369,0,1,1,3,74030,0,0,0,177777,0,17110
44040370,0,1,1,3,74030,0,0,0,177777,0,17110
44040371,0,1,1,3,74030,0,0,0,177777,0,0
44040372,0,1,1,3,74030,0,0,0,177777,0,6000
44040373,0,1,1,3,74030,0,0,0,177777,0,6000
44040374,0,1,1,3,74030,0,0,0,177777,0,6000
44040375,0,1,1,3,74030,0,0,0,177777,0,6000
44040376,0,1,1,3,74030,0,146142,146142,177777,0,7461
44040377,0,1,1,3,74030,0,146142,146142,177777,0,7461
44040378,0,1,1,3,74030,0,146142,146142,177777,0,7461
44040379,0,1,1,3,74030,0,146142,146142,177777,0,7461
44040380,0,1,1,3,74030,0,146142,0,177777,0,7461
44040381,0,1,1,3,74030,0,146142,0,177777,0,7461
44040382,0,1,1,3,74030,0,146142,0,177777,0,7461
44040383,26,1,1,3,146142,0,146142,0,177777,0,145
44040384,26,1,1,3,146142,0,0,0,177777,0,145
44040385,26,1,1,3,146142,0,0,0,177777,0,0
44040386,26,1,1,3,146142,0,0,0,177777,0,17111
44040387,26,1,1,3,146142,0,0,0,177777,0,17111
44040388,26,1,1,3,146142,0,0,0,177777,0,0
44040389,26,1,1,3,146142,0,0,0,177777,0,0
44040390,0,1,1,3,0,0,0,0,177777,0,0
44040391,0,1,1,3,0,0,0,0,177777,0,0
44040392,0,1,1,3,0,0,0,0,177777,0,2001
44040393,0,1,1,3,0,0,0,0,177777,0,17026
44040394,0,1,1,3,0,0,0,0,177777,0,17026
44040395,0,1,1,3,0,0,0,0,177777,0,0
44040396,0,1,1,3,0,0,0,0,177777,0,6000
44040397,0,1,1,3,0,0,0,0,177777,0,6000
44040398,0,1,1,3,0,0,0,0,177777,0,6000
44040399,0,1,1,3,0,0,0,0,177777,0,6000
44040400,0,1,1,3,0,0,124010,124010,177777,0,7240
44040401,0,1,1,3,0,0,124010,124010,177777,0,7240
44040402,0,1,1,3,0,0,124010,124010,177777,0,7240
44040403,0,1,1,3,0,0,124010,124010,177777,0,7240
44040404,0,1,1,3,0,0,124010,0,177777,0,7240
44040405,0,1,1,3,0,0,124010,0,177777,0,7240
44040406,0,1,1,3,0,0,124010,0,177777,0,7240
44040407,0,1,1,0,124010,0,124010,0,177777,0,0
44040408,0,1,1,0,124010,0,0,0,177777,0,0
44040409,0,1,1,0,124010,0,0,0,177777,0,2001
44040410,0,1,1,0,124010,0,0,0,177777,0,17036
44040411,0,1,1,0,124010,0,0,0,177777,0,17036
44040412,0,1,1,0,124010,0,0,0,177777,0,0
44040413,0,1,1,0,124010,0,0,0,177777,0,6000
44040414,0,1,1,0,124010,0,0,0,177777,0,6000
44040415,0,1,1,0,124010,0,0,0,177777,0,6000
44040416,0,1,1,0,124010,0,0,0,177777,0,6000
44040417,0,1,1,0,124010,0,175020,175020,177777,0,7750
44040418,0,1,1,0,124010,0,175020,175020,177777,0,7750
44040419,0,1,1,0,124010,0,175020,175020,177777,0,7750
44040420,0,1,1,0,124010,0,175020,175020,177777,0,7750
44040421,0,1,1,0,124010,0,175020,0,177777,0,7750
44040422,0,1,1,0,124010,0,175020,0,177777,0,7750
44040423,0,1,1,0,124010,0,175020,0,177777,0,7750
44040424,377,1,1,0,175020,1,177777,0,177777,0,262
44040425,377,1,1,0,175020,1,177777,0,177777,0,262
44040426,377,1,1,0,175020,1,177777,0,177777,0,263
44040427,44,1,1,0,175020,1,10044,0,177777,0,263
44040428,44,1,1,0,175020,1,10044,0,177777,0,264
44040429,44,1,1,0,175020,1,10044,0,177777,0,264
44040430,44,1,1,0,175020,1,10044,0,177777,0,264
44040431,44,1,1,0,175020,1,10044,0,177777,0,265
44040432,44,1,1,0,175020,1,10044,0,177777,0,265
44040433,4,1,1,0,175020,1,4,0,10044,0,265
44040434,4,1,1,0,175020,1,4,0,10044,0,266
44040435,4,1,1,0,175020,1,4,0,10044,0,266
44040436,110,1,1,0,175020,1,20110,0,10044,0,266
44040437,110,1,1,0,175020,1,20110,0,10044,0,267
44040438,110,1,1,0,175020,1,20110,0,10044,0,0
44040439,0,1,1,3,175020,0,0,0,10044,0,0
44040440,0,1,1,3,175020,0,0,0,10044,0,0
44040441,0,1,1,3,175020,0,0,0,10044,0,2001
44040442,0,1,1,3,175020,0,0,0,10044,0,17037
44040443,0,1,1,3,175020,0,0,0,10044,0,17037
44040444,0,1,1,3,175020,0,0,0,10044,0,0
44040445,0,1,1,3,175020,0,0,0,10044,0,6000
44040446,0,1,1,3,175020,0,0,0,10044,0,6000
44040447,0,1,1,3,175020,0,0,0,10044,0,6000
44040448,0,1,1,3,175020,0,0,0,10044,0,6000
44040449,0,1,1,3,175020,0,150402,150402,10044,0,7504
44040450,0,1,1,3,175020,0,150402,150402,10044,0,7504
44040451,0,1,1,3,175020,0,150402,150402,10044,0,7504
44040452,0,1,1,3,175020,0,150402,150402,10044,0,7504
44040453,0,1,1,3,175020,0,150402,0,10044,0,7504
44040454,0,1,1,3,175020,0,150402,0,10044,0,7504
44040455,0,1,1,3,175020,0,150402,0,10044,0,7504
44040456,44,1,1,0,150402,0,150446,0,10044,0,657
44040457,44,1,1,0,150402,0,10044,0,10044,0,657
44040458,44,1,1,0,150402,0,10044,0,10044,0,326
44040459,44,1,1,0,10044,1,10044,0,10044,0,326
44040460,44,1,1,0,10044,1,10044,0,10044,0,326
44040461,44,1,1,0,10044,1,10044,0,10044,0,327
44040462,44,1,1,0,10044,1,10044,0,10044,0,327
44040463,44,1,1,0,10044,1,10044,0,10044,0,330
44040464,44,1,1,0,10044,1,10044,0,10044,0,660
44040465,44,1,1,0,10044,1,10044,0,10044,0,660
44040466,44,1,1,0,10044,1,10044,0,10044,0,660
44040467,44,1,1,0,10044,1,10044,0,10044,0,3642
44040468,44,1,1,0,10044,1,10044,0,10044,0,3642
44040469,44,1,1,0,10044,1,10044,0,10044,0,3642
44040470,44,1,1,0,10044,1,10044,0,10044,0,663
44040471,0,1,1,0,10044,1,100000,0,10044,0,663
44040472,0,1,1,0,10044,1,100000,0,10044,0,663
44040473,0,1,1,0,10044,1,100000,0,10044,0,664
44040474,44,1,1,0,10044,1,110044,0,110044,0,664
44040475,44,1,1,0,10044,1,110044,0,110044,0,665
44040476,44,1,1,0,10044,1,110044,0,110044,0,665
44040477,44,1,1,0,10044,1,110044,0,110044,0,665
44040478,44,1,1,0,10044,1,110044,0,110044,0,666
44040479,44,1,1,0,10044,1,110044,0,110044,0,1112
44040480,45,1,1,0,10044,1,130045,0,110044,0,1112
44040481,45,1,1,0,10044,1,130045,0,110044,0,1112
44040482,45,1,1,0,10044,1,130045,0,110044,0,1113
44040483,45,1,1,0,10044,1,130045,0,110044,0,1113
44040484,45,1,1,0,10044,1,130045,0,110044,0,1113
44040485,45,1,1,0,10044,1,130045,0,110044,0,1113
44040486,45,1,1,0,10044,1,130045,0,110044,0,1113
44040487,45,1,1,0,10044,1,130045,0,110044,0,1113
44040488,44,1,1,0,10044,1,110044,0,110044,0,1113
44040489,44,1,1,0,10044,1,110044,0,110044,0,1114
44040490,44,1,1,0,10044,1,110044,0,110044,0,1114
44040491,10,1,1,0,10044,1,10,0,110044,0,1114
44040492,10,1,1,0,10044,1,10,0,110044,0,1115
44040493,10,1,1,0,10044,1,10,0,110044,0,1115
44040494,10,1,1,0,10044,1,10,0,110044,0,1115
44040495,10,1,1,0,10044,1,10,0,110044,0,1115
44040496,10,1,1,0,10044,1,10,0,110044,0,1115
44040497,10,1,1,0,10044,1,10,0,110044,0,1115
44040498,10,1,1,0,10044,1,10,0,110044,0,1115
44040499,0,1,1,0,10044,1,0,0,110044,0,1115
44040500,0,1,1,0,10044,1,0,0,110044,0,1116
44040501,0,1,1,0,10044,1,0,0,110044,0,1116
44040502,44,1,1,0,10044,1,110044,0,0,0,1116
44040503,44,1,1,0,10044,1,110044,0,0,0,666
44040504,44,1,1,0,10044,1,110044,0,0,0,1117
44040505,1,1,1,0,10044,1,60001,0,0,0,1117
44040506,1,1,1,0,10044,1,60001,0,0,0,1120
44040507,1,1,1,0,10044,1,60001,0,0,0,1120
44040508,13,1,1,0,10044,1,100013,0,0,0,1120
44040509,13,1,1,0,10044,1,100013,0,0,0,1121
44040510,13,1,1,0,10044,1,100013,0,0,0,1120
44040511,0,1,1,0,10044,1,0,0,100013,0,1120
44040512,0,1,1,0,10044,1,0,0,100013,0,1120
44040513,0,1,1,0,10044,1,0,0,100013,0,1120
44040514,1,1,1,0,10044,1,1,0,26,0,1120
44040515,1,1,1,0,10044,1,1,0,26,0,1120
44040516,1,1,1,0,10044,1,1,0,26,0,1120
44040517,2,1,1,0,10044,1,2,0,54,0,1120
44040518,2,1,1,0,10044,1,2,0,54,0,1120
44040519,2,1,1,0,10044,1,2,0,54,0,1120
44040520,4,1,1,0,10044,1,4,0,130,0,1120
44040521,4,1,1,0,10044,1,4,0,130,0,1120
44040522,4,1,1,0,10044,1,4,0,130,0,1120
44040523,10,1,1,0,10044,1,10,0,260,0,1120
44040524,10,1,1,0,10044,1,10,0,260,0,1120
44040525,10,1,1,0,10044,1,10,0,260,0,1120
44040526,20,1,1,0,10044,1,20,0,540,0,1120
44040527,20,1,1,0,10044,1,20,0,540,0,1120
44040528,20,1,1,0,10044,1,20,0,540,0,1120
44040529,40,1,1,0,10044,1,40,0,1300,0,1120
44040530,40,1,1,0,10044,1,40,0,1300,0,1120
44040531,40,1,1,0,10044,1,40,0,1300,0,1120
44040532,100,1,1,0,10044,1,100,0,2600,0,1120
44040533,100,1,1,0,10044,1,100,0,2600,0,1120
44040534,100,1,1,0,10044,1,100,0,2600,0,1120
44040535,200,1,1,0,10044,1,200,0,5400,0,1120
44040536,200,1,1,0,10044,1,200,0,5400,0,1120
44040537,200,1,1,0,10044,1,200,0,5400,0,1120
44040538,0,1,1,0,10044,1,400,0,13000,0,1120
44040539,0,1,1,0,10044,1,400,0,13000,0,1120
44040540,0,1,1,0,10044,1,400,0,13000,0,1120
44040541,0,1,1,0,10044,1,1000,0,26000,0,1120
44040542,0,1,1,0,10044,1,1000,0,26000,0,1120
44040543,0,1,1,0,10044,1,1000,0,26000,0,1120
44040544,0,1,1,0,10044,1,2000,0,54000,0,1120
44040545,0,1,1,0,10044,1,2000,0,54000,0,1120
44040546,0,1,1,0,10044,1,2000,0,54000,0,1120
44040547,0,1,1,0,10044,1,4000,0,130000,0,1120
44040548,0,1,1,0,10044,1,4000,0,130000,0,1120
44040549,0,1,1,0,10044,1,4000,0,130000,0,1121
44040550,1,1,1,0,10044,1,10001,0,60000,0,1121
44040551,1,1,1,0,10044,1,10001,0,60000,0,1122
44040552,1,1,1,0,10044,1,10001,0,60000,0,1133
44040553,0,1,1,0,10044,1,0,0,140000,0,1133
44040554,0,1,1,0,10044,1,0,0,140000,0,1133
44040555,0,1,1,0,10044,1,0,0,140000,0,1134
44040556,0,1,1,0,10044,1,0,0,0,0,1134
44040557,0,1,1,0,10044,1,0,0,0,0,1135
44040558,0,1,1,0,10044,1,0,0,0,0,1140
44040559,0,1,1,0,10044,1,0,0,0,0,1140
44040560,0,1,1,0,10044,1,0,0,0,0,1140
44040561,0,1,1,0,10044,1,0,0,0,0,1141
44040562,1,1,1,0,10044,1,1,0,0,0,1141
44040563,1,1,1,0,10044,1,1,0,0,0,1142
44040564,1,1,1,0,10044,1,1,0,0,0,1142
44040565,1,1,1,0,10044,1,1,0,1,0,1142
44040566,1,1,1,0,10044,1,1,0,1,0,1143
44040567,1,1,1,0,10044,1,1,0,1,0,666
44040568,0,1,1,0,10044,1,140000,0,1,0,666
44040569,0,1,1,0,10044,1,140000,0,1,0,666
44040570,0,1,1,0,10044,1,140000,0,1,0,0
44040571,0,1,1,3,10044,0,0,0,1,0,0
44040572,0,1,1,3,10044,0,0,0,1,0,0
44040573,0,1,1,3,10044,0,0,0,1,0,2001
44040574,0,1,1,3,10044,0,0,0,1,0,17040
44040575,0,1,1,3,10044,0,0,0,1,0,17040
44040576,0,1,1,3,10044,0,0,0,1,0,0
44040577,0,1,1,3,10044,0,0,0,1,0,6000
44040578,0,1,1,3,10044,0,0,0,1,0,6000
