tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0
44604409,0,123,17,1155,10,1164,773,0,773,1164,56203,0,174,3,1164,176613,0,0
44604410,0,123,17,1155,10,1164,773,0,773,1164,56203,0,174,3,1164,176613,0,0
44604411,0,123,17,1155,10,1164,773,0,773,1164,56203,0,174,3,1164,176613,0,0
44604412,0,123,17,1155,10,1164,773,0,773,1164,56203,0,174,3,1164,176613,0,0
44604413,0,123,17,1155,10,1164,773,0,0,1164,56203,0,174,3,1164,176613,0,0
44604414,0,123,17,1155,10,1164,773,0,0,1164,56203,0,174,3,1164,176613,0,0
44604415,0,123,17,1155,10,1164,773,0,0,1164,56203,0,174,3,1164,176613,0,0
44604416,0,123,17,1155,10,1164,773,0,0,1164,773,72002,0,3,773,177004,773,0
44604417,0,123,17,1155,10,1164,0,0,0,1164,773,72002,0,4,773,177004,773,0
44604418,2001,123,17,1155,10,1164,0,0,0,1164,773,72002,0,0,773,177004,773,0
44604419,17163,123,17,1155,10,1164,0,0,0,1164,773,72002,0,0,773,177004,773,0
44604420,17163,123,17,1155,10,1164,0,0,0,1164,773,72002,0,0,773,177004,773,0
44604421,0,123,17,1155,10,1164,0,0,0,1164,773,72002,0,0,773,177004,773,0
44604422,0,123,17,1155,10,1164,0,0,0,1164,773,72002,0,0,773,177004,773,0
44604423,0,123,17,1155,10,1164,0,63163,0,1164,773,72002,0,0,773,177004,773,0
44604424,6000,123,17,1155,10,1164,0,63163,0,1164,773,72002,0,0,773,177004,773,0
44604425,6000,123,17,1155,10,1164,0,0,0,1164,773,72002,0,0,773,177004,773,0
44604426,6000,123,17,1155,10,1164,0,0,0,1164,773,72002,0,0,773,177004,773,0
44604427,6000,123,17,1155,10,1164,0,0,0,1164,773,72002,0,0,773,177004,773,0
44604428,6146,123,17,1155,10,1164,14603,0,14603,1164,773,72002,0,0,773,177004,773,0
44604429,6146,123,17,1155,10,1164,14603,0,14603,1164,773,72002,0,0,773,177004,773,0
44604430,6146,123,17,1155,10,1164,14603,0,14603,1164,773,72002,0,0,773,177004,773,0
44604431,6146,123,17,1155,10,1164,14603,0,14603,1164,773,72002,0,0,773,177004,773,0
44604432,6146,123,17,1155,10,1164,14603,0,0,1164,773,72002,0,0,773,177004,773,0
44604433,6146,123,17,1155,10,1164,14603,0,0,1164,773,72002,0,0,773,177004,773,0
44604434,6146,123,17,1155,10,1164,14603,0,0,1164,773,72002,0,0,773,177004,773,0
44604435,145,123,17,773,10,1164,14773,0,0,1164,14603,175401,70145,0,773,177004,0,773
44604436,145,123,17,773,10,1164,773,0,0,1164,14603,175401,70145,0,773,177004,0,773
44604437,0,123,17,773,10,1164,773,0,0,1164,14603,175401,70145,0,773,177004,0,773
44604438,0,123,17,773,10,1164,773,0,0,1164,14603,175401,70145,0,773,177004,0,773
44604439,0,123,17,773,10,1164,773,0,0,1164,14603,175401,70145,0,773,177004,0,773
44604440,0,123,17,773,10,1164,773,767,0,1164,14603,175401,70145,0,773,177004,0,773
44604441,0,123,17,773,10,1164,773,767,0,1164,14603,175401,70145,0,773,177004,0,773
44604442,0,123,17,773,10,1164,773,0,0,1164,14603,175401,70145,0,773,177004,0,773
44604443,0,123,17,773,10,1164,773,773,0,1164,14603,175401,70145,0,773,177004,0,773
44604444,0,123,17,773,10,1164,0,773,0,1164,773,175401,0,0,0,177777,0,0
44604445,0,123,17,773,10,1164,0,773,0,1164,773,175401,0,4,0,177777,0,0
44604446,2001,123,17,773,10,1164,0,773,0,1164,773,175401,0,0,0,177777,0,0
44604447,17164,123,17,773,10,1164,0,773,0,1164,773,175401,0,0,0,177777,0,0
44604448,17164,123,17,773,10,1164,0,773,0,1164,773,175401,0,0,0,177777,0,0
44604449,0,123,17,773,10,1164,0,773,0,1164,773,175401,0,0,0,177777,0,0
44604450,0,123,17,773,10,1164,0,0,0,1164,773,175401,0,0,0,177777,0,0
44604451,0,123,17,773,10,1164,0,63164,0,1164,773,175401,0,0,0,177777,0,0
44604452,6000,123,17,773,10,1164,0,63164,0,1164,773,175401,0,0,0,177777,0,0
44604453,6000,123,17,773,10,1164,0,0,0,1164,773,175401,0,0,0,177777,0,0
44604454,6000,123,17,773,10,1164,0,0,0,1164,773,175401,0,0,0,177777,0,0
44604455,6000,123,17,773,10,1164,0,0,0,1164,773,175401,0,0,0,177777,0,0
44604456,7440,123,17,773,10,1164,144074,0,144074,1164,773,175401,0,0,0,177777,0,0
44604457,7440,123,17,773,10,1164,144074,0,144074,1164,773,175401,0,0,0,177777,0,0
44604458,7440,123,17,773,10,1164,144074,0,144074,1164,773,175401,0,0,0,177777,0,0
44604459,7440,123,17,773,10,1164,144074,0,144074,1164,773,175401,0,0,0,177777,0,0
44604460,7440,123,17,773,10,1164,144074,0,0,1164,773,175401,0,0,0,177777,0,0
44604461,7440,123,17,773,10,1164,144074,0,0,1164,773,175401,0,0,0,177777,0,0
44604462,7440,123,17,773,10,1164,144074,0,0,1164,773,175401,0,0,0,177777,0,0
44604463,222,123,17,773,10,1164,166476,0,0,1164,144074,0,222,0,22416,155361,0,0
44604464,222,123,17,773,10,1164,22416,0,0,1164,144074,0,222,0,22416,155361,0,0
44604465,223,123,17,773,10,1164,22416,0,0,1164,144074,0,222,0,22416,155361,0,0
44604466,223,123,17,773,10,1164,773,0,0,22416,22416,7045,223,0,773,177004,0,773
44604467,223,123,17,773,10,1164,773,0,0,22416,22416,7045,223,0,773,177004,0,773
44604468,145,123,17,773,10,1164,773,0,0,22416,22416,7045,223,0,773,177004,0,773
44604469,145,123,17,773,10,1164,0,0,0,22416,22416,175401,145,0,22416,155361,0,0
44604470,145,123,17,773,10,1164,0,0,0,22416,22416,175401,145,0,22416,155361,0,0
44604471,0,123,17,773,10,1164,0,0,0,22416,22416,175401,145,0,22416,155361,0,0
44604472,17165,123,17,773,10,1164,0,0,0,22416,22416,175401,145,0,22416,155361,0,0
44604473,17165,123,17,773,10,1164,0,0,0,22416,22416,175401,145,0,22416,155361,0,0
44604474,0,123,17,773,10,1164,0,63165,0,22416,22416,175401,145,0,22416,155361,0,0
44604475,6000,123,17,773,10,1164,0,63165,0,22416,22416,175401,145,0,22416,155361,0,0
44604476,6000,123,17,773,10,1164,0,0,0,22416,22416,175401,145,0,22416,155361,0,0
44604477,6000,123,17,773,10,1164,0,0,0,22416,22416,175401,145,0,22416,155361,0,0
44604478,6000,123,17,773,10,1164,0,0,0,22416,22416,175401,145,0,22416,155361,0,0
44604479,7734,123,17,773,10,1164,173401,0,173401,22416,22416,175401,145,0,22416,155361,0,0
44604480,7734,123,17,773,10,1164,173401,0,173401,22416,22416,175401,145,22,22416,155361,0,0
44604481,7734,123,17,773,10,1164,173401,0,173401,22416,22416,175401,145,22,22416,155361,0,0
44604482,7734,123,17,773,10,1164,173401,0,173401,22416,22416,175401,145,22,22416,155361,0,0
44604483,7734,123,17,773,10,1164,173401,0,0,22416,22416,175401,145,22,22416,155361,0,0
44604484,7734,123,17,773,10,1164,173401,0,0,22416,22416,175401,145,22,22416,155361,0,0
44604485,7734,123,17,773,10,1164,173401,0,0,22416,22416,175401,145,22,22416,155361,0,0
44604486,0,123,17,22416,10,1164,173401,0,0,22416,22416,7045,70000,22,22417,177776,1,22416
44604487,0,123,17,22416,10,1164,0,0,0,22416,22416,7045,70000,4,22417,177776,1,22416
44604488,2001,123,17,22416,10,1164,0,0,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604489,17166,123,17,22416,10,1164,0,0,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604490,17166,123,17,22416,10,1164,0,0,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604491,0,123,17,22416,10,1164,0,63166,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604492,6000,123,17,22416,10,1164,0,63166,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604493,6000,123,17,22416,10,1164,0,0,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604494,6000,123,17,22416,10,1164,0,0,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604495,6000,123,17,22416,10,1164,0,0,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604496,6146,123,17,22416,10,1164,14604,0,14604,22416,22416,7045,70000,0,22417,177776,1,22416
44604497,6146,123,17,22416,10,1164,14604,0,14604,22416,22416,7045,70000,0,22417,177776,1,22416
44604498,6146,123,17,22416,10,1164,14604,0,14604,22416,22416,7045,70000,0,22417,177776,1,22416
44604499,6146,123,17,22416,10,1164,14604,0,14604,22416,22416,7045,70000,0,22417,177776,1,22416
44604500,6146,123,17,22416,10,1164,14604,0,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604501,6146,123,17,22416,10,1164,14604,0,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604502,6146,123,17,22416,10,1164,14604,0,0,22416,22416,7045,70000,0,22417,177776,1,22416
44604503,145,123,17,22417,10,1164,36617,0,0,22416,14604,400,70145,0,22417,155360,0,22417
44604504,145,123,17,22417,10,1164,22417,0,0,22416,14604,400,70145,0,22417,155360,0,22417
44604505,0,123,17,22417,10,1164,22417,0,0,22416,14604,400,70145,0,22417,155360,0,22417
44604506,0,123,17,22417,10,1164,22417,0,0,22416,14604,400,70145,0,22417,155360,0,22417
44604507,0,123,17,22417,10,1164,22417,0,0,22416,14604,400,70145,0,22417,155360,0,22417
44604508,0,123,17,22417,10,1164,22417,770,0,22416,14604,400,70145,0,22417,155360,0,22417
44604509,0,123,17,22417,10,1164,22417,770,0,22416,14604,400,70145,0,22417,155360,0,22417
44604510,0,123,17,22417,10,1164,22417,0,0,22416,14604,400,70145,0,22417,155360,0,22417
44604511,0,123,17,22417,10,1164,22417,22417,0,22416,14604,400,70145,0,22417,155360,0,22417
44604512,0,123,17,22417,10,1164,0,22417,0,22416,22417,7445,0,0,0,177777,0,0
44604513,0,123,17,22417,10,1164,0,22417,0,22416,22417,7445,0,4,0,177777,0,0
44604514,2001,123,17,22417,10,1164,0,22417,0,22416,22417,7445,0,0,0,177777,0,0
44604515,17167,123,17,22417,10,1164,0,22417,0,22416,22417,7445,0,0,0,177777,0,0
44604516,17167,123,17,22417,10,1164,0,22417,0,22416,22417,7445,0,0,0,177777,0,0
44604517,0,123,17,22417,10,1164,0,22417,0,22416,22417,7445,0,0,0,177777,0,0
44604518,0,123,17,22417,10,1164,0,0,0,22416,22417,7445,0,0,0,177777,0,0
44604519,0,123,17,22417,10,1164,0,63167,0,22416,22417,7445,0,0,0,177777,0,0
44604520,6000,123,17,22417,10,1164,0,63167,0,22416,22417,7445,0,0,0,177777,0,0
44604521,6000,123,17,22417,10,1164,0,0,0,22416,22417,7445,0,0,0,177777,0,0
44604522,6000,123,17,22417,10,1164,0,0,0,22416,22417,7445,0,0,0,177777,0,0
44604523,6000,123,17,22417,10,1164,0,0,0,22416,22417,7445,0,0,0,177777,0,0
44604524,6563,123,17,22417,10,1164,56377,0,56377,22416,22417,7445,0,0,0,177777,0,0
44604525,6563,123,17,22417,10,1164,56377,0,56377,22416,22417,7445,0,0,0,177777,0,0
44604526,6563,123,17,22417,10,1164,56377,0,56377,22416,22417,7445,0,0,0,177777,0,0
44604527,6563,123,17,22417,10,1164,56377,0,56377,22416,22417,7445,0,0,0,177777,0,0
44604528,6563,123,17,22417,10,1164,56377,0,0,22416,22417,7445,0,0,0,177777,0,0
44604529,6563,123,17,22417,10,1164,56377,0,0,22416,22417,7445,0,0,0,177777,0,0
44604530,6563,123,17,22417,10,1164,56377,0,0,22416,22417,7445,0,0,0,177777,0,0
44604531,174,123,17,22417,10,1164,56377,0,0,22416,56377,0,174,0,22416,155361,0,0
44604532,174,123,17,22417,10,1164,0,0,0,22416,56377,0,174,3,22416,155361,0,0
44604533,0,123,17,22417,10,1164,0,0,0,22416,56377,0,174,3,22416,155361,0,0
44604534,0,123,17,22417,10,1164,0,0,0,22416,56377,0,174,3,22416,155361,0,0
44604535,0,123,17,22417,10,1164,0,0,0,22416,56377,0,174,3,22416,155361,0,0
44604536,0,123,17,22417,10,1164,0,22416,0,22416,56377,0,174,3,22416,155361,0,0
44604537,0,123,17,22417,10,1164,0,22416,0,22416,56377,0,174,3,22416,155361,0,0
44604538,0,123,17,22417,10,1164,0,0,0,22416,56377,0,174,3,22416,155361,0,0
44604539,0,123,17,22417,10,1164,0,0,0,22416,56377,0,174,3,22416,155361,0,0
44604540,0,123,17,22417,10,1164,0,0,0,22416,56377,0,174,3,22416,155361,0,0
44604541,0,123,17,22417,10,1164,1,0,1,22416,56377,0,174,3,22416,155361,0,0
44604542,0,123,17,22417,10,1164,1,0,1,22416,56377,0,174,3,22416,155361,0,0
44604543,0,123,17,22417,10,1164,1,0,1,22416,56377,0,174,3,22416,155361,0,0
44604544,0,123,17,22417,10,1164,1,0,1,22416,56377,0,174,3,22416,155361,0,0
44604545,0,123,17,22417,10,1164,1,0,0,22416,56377,0,174,3,22416,155361,0,0
44604546,0,123,17,22417,10,1164,1,0,0,22416,56377,0,174,3,22416,155361,0,0
44604547,0,123,17,22417,10,1164,1,0,0,22416,56377,0,174,3,22416,155361,0,0
44604548,0,123,17,22417,10,1164,1,0,0,22416,1,7045,0,3,1,177776,1,0
44604549,0,123,17,22417,10,1164,0,0,0,22416,1,7045,0,4,1,177776,1,0
44604550,2001,123,17,22417,10,1164,0,0,0,22416,1,7045,0,0,1,177776,1,0
44604551,17170,123,17,22417,10,1164,0,0,0,22416,1,7045,0,0,1,177776,1,0
44604552,17170,123,17,22417,10,1164,0,0,0,22416,1,7045,0,0,1,177776,1,0
44604553,0,123,17,22417,10,1164,0,63170,0,22416,1,7045,0,0,1,177776,1,0
44604554,6000,123,17,22417,10,1164,0,63170,0,22416,1,7045,0,0,1,177776,1,0
44604555,6000,123,17,22417,10,1164,0,0,0,22416,1,7045,0,0,1,177776,1,0
44604556,6000,123,17,22417,10,1164,0,0,0,22416,1,7045,0,0,1,177776,1,0
44604557,6000,123,17,22417,10,1164,0,0,0,22416,1,7045,0,0,1,177776,1,0
44604558,7736,123,17,22417,10,1164,173606,0,173606,22416,1,7045,0,0,1,177776,1,0
44604559,7736,123,17,22417,10,1164,173606,0,173606,22416,1,7045,0,22,1,177776,1,0
44604560,7736,123,17,22417,10,1164,173606,0,173606,22416,1,7045,0,22,1,177776,1,0
44604561,7736,123,17,22417,10,1164,173606,0,173606,22416,1,7045,0,22,1,177776,1,0
44604562,7736,123,17,22417,10,1164,173606,0,0,22416,1,7045,0,22,1,177776,1,0
44604563,7736,123,17,22417,10,1164,173606,0,0,22416,1,7045,0,22,1,177776,1,0
44604564,7736,123,17,22417,10,1164,173606,0,0,22416,1,7045,0,22,1,177776,1,0
