tick,CSA,AREG,RP,RX,RAM_IDX,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN
71612448,0,124,55600,56237,54026,0,417504
71612449,0,124,55600,56237,54003,0,400400
71612450,0,124,55600,56237,6003,0,400124
71612451,0,124,55600,56237,7504,0,400124
# MARK fill tick=71612451
71612452,0,124,55600,56237,7504,0,400124
71612453,2001,124,55600,56237,7504,0,400124
71612454,17600,124,55600,56237,7504,0,400124
71612455,17600,124,55600,56237,6000,0,400124
71644257,0,377,55600,56237,54026,0,417504
71644258,0,377,55600,56237,54003,0,400400
71644259,0,377,55600,56237,6003,0,400777
71644260,0,377,55600,56237,7504,0,400777
# MARK fill tick=71644260
71644261,0,377,55600,56237,7504,0,400777
71644262,2001,377,55600,56237,7504,0,400777
71644263,17600,377,55600,56237,7504,0,400777
71644264,17600,377,55600,56237,6000,0,400777
71661052,0,7523,3002,7504,6003,1,400400
71661053,0,7523,3002,7504,6003,0,400400
71661054,0,7523,3002,7504,6003,0,400400
71661055,0,7523,3002,7504,7504,0,400400
# MARK fill tick=71661055
71661056,2001,7523,3002,7504,7504,0,400400
71661057,17002,7523,3002,7504,7504,0,400400
71661058,17002,7523,3002,7504,7504,0,400400
71661059,0,7523,3002,7504,6000,0,400400
71670393,0,377,55600,56237,54026,0,417504
71670394,0,377,55600,56237,54003,0,400400
71670395,0,377,55600,56237,6003,0,400777
71670396,0,377,55600,56237,7504,0,400777
# MARK fill tick=71670396
71670397,0,377,55600,56237,7504,0,400777
71670398,2001,377,55600,56237,7504,0,400777
71670399,17600,377,55600,56237,7504,0,400777
71670400,17600,377,55600,56237,6000,0,400777
71702191,0,103,55600,56237,54026,0,417504
71702192,0,103,55600,56237,54003,0,400400
71702193,0,103,55600,56237,6003,0,400103
71702194,0,103,55600,56237,7504,0,400103
# MARK fill tick=71702194
71702195,0,103,55600,56237,7504,0,400103
71702196,2001,103,55600,56237,7504,0,400103
71702197,17600,103,55600,56237,7504,0,400103
71702198,17600,103,55600,56237,6000,0,400103
