tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,RD,RL,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
71247557,3642,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116400,116400,0,400400,2001
71247558,3642,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116400,116400,0,400400,2001
71247559,3642,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116400,116400,0,400400,2001
71247560,663,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116400,116400,0,400400,2001
71247561,663,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,16500,116400,0,400400,2001
71247562,663,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,16500,116400,0,400400,2001
71247563,664,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,16500,116400,0,400400,2001
71247564,664,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247565,665,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247566,665,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247567,665,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247568,666,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247569,1112,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247570,1112,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247571,1112,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247572,1113,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247573,1113,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247574,1113,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247575,1113,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247576,1113,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247577,1113,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247578,1113,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247579,1114,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247580,1114,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247581,1114,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247582,1115,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247583,1115,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247584,1115,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247585,1115,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247586,1115,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247587,1115,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247588,1115,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247589,1115,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247590,1116,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247591,666,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,116500,116400,0,400400,2001
71247592,666,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,116400,0,400400,2001
71247593,666,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,116400,0,400400,2001
71247594,0,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,116400,0,400400,2001
71247595,0,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,116400,0,400400,2001
71247596,0,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,116400,0,400400,2001
71247597,17,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,116400,0,400400,2001
