tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,RD,RL,MEMRD_ADDR,MEMRD_DATA,QREG,DBR
45505742,0,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,50015
45505743,0,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,50015
45505744,0,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,50015
45505745,0,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505746,0,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505747,2001,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505748,16446,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505749,16446,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505750,0,6,110044,22446,6,110044,5,7753,55345,11265,22446,0,22443,5252
45505751,6000,6,110044,22446,6,110044,5,7753,55345,11265,22446,0,22443,5252
45505752,6000,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505753,6000,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505754,6000,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505755,7422,6,110044,22446,6,110044,5,7753,55345,11265,0,142200,22443,5252
45505756,7422,6,110044,22446,6,110044,5,7753,55345,11265,0,142200,22443,5252
45505757,7422,6,110044,22446,6,110044,5,7753,55345,11265,0,142200,22443,5252
45505758,7422,6,110044,22446,6,110044,5,7753,55345,11265,0,142200,22443,5252
45505759,7422,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505760,7422,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505761,7422,6,110044,22446,6,110044,5,7753,55345,11265,0,0,22443,5252
45505762,4331,6,5252,22447,6,5252,5,7753,55345,11265,0,0,22443,142200
45505763,4331,6,5252,22447,6,5252,5,7753,55345,11265,0,0,22443,142200
45505764,4335,6,5252,22447,6,5252,5,7753,55345,11265,0,0,22443,142200
45505765,4335,6,5252,22447,6,5252,5,7753,55345,11265,0,0,22443,22443
45505766,4335,6,5252,22447,6,5252,5,7753,55345,11265,0,0,22443,22443
45505767,4336,6,5252,22447,6,5252,5,7753,55345,11265,0,0,22443,22443
45505768,4336,6,5252,22447,6,5252,5,7753,55345,11265,0,0,22443,22443
45505769,4337,6,5252,22447,6,5252,5,7753,55345,11265,0,0,22443,22443
45505770,4332,6,5252,22447,6,5252,5,7753,55345,11265,0,0,22443,22443
45505771,4332,6,5252,22447,6,5252,5,7753,55345,11265,0,0,22443,22443
