tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_DATA,RAM_IDX,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN
47317347,1103,177777,0,15,5127,1147,16,0,2001,0,151000,40,110350,10,177777,177761,16,15,0,400400
47317348,1104,177777,0,15,5127,1147,16,0,2001,0,151000,40,110350,0,177777,177761,16,15,0,400400
47317349,1104,177777,0,15,5127,1147,16,0,2001,0,151000,40,110350,0,177777,177761,16,15,0,400400
47317350,1104,177777,0,15,5127,1147,20000,0,2001,0,151000,7000,171122,0,0,177777,0,20001,0,400400
47317351,1105,177777,0,15,5127,1147,20000,0,2001,0,151000,7000,171122,10,0,177777,0,20001,0,400400
47317352,1105,177777,0,15,5127,1147,0,0,2001,0,151000,7000,171122,10,0,177777,0,20001,0,400400
47317353,1105,177777,0,15,5127,1147,12,0,2001,0,151000,0,110330,10,3,177765,12,15,0,400400
47317354,1106,177777,0,15,5127,1147,12,0,2001,0,151000,0,110330,0,3,177765,12,15,0,400400
47317355,1106,177777,0,15,5127,1147,12,0,2001,0,151000,0,110330,0,3,177765,12,15,0,400400
47317356,1106,177777,0,15,5127,1147,3,0,2001,3,151000,5000,1112,0,3,177774,0,0,0,400400
47317357,1107,177777,0,15,5127,1147,3,0,2001,3,151000,5000,1112,10,3,177774,0,0,0,400400
47317358,1107,177777,0,15,5127,1147,3,0,2001,3,151000,5000,1112,10,3,177774,0,0,0,400400
47317359,1107,177777,0,15,5127,1147,4,0,2001,3,151000,1400,330,10,177777,177773,4,0,0,400400
47317360,1110,177777,0,15,5127,1147,4,0,2001,3,151000,1400,330,1,177777,177773,4,0,0,400400
47317361,1111,177777,0,15,5127,1147,4,0,2001,3,151000,1400,330,1,177777,177773,4,0,0,400400
47317362,1111,177777,0,15,5127,1147,10,0,2001,3,151000,2000,1111,1,10,177767,10,1147,0,400400
47317363,1111,177777,0,15,5127,1147,10,0,2001,3,151000,2000,1111,0,10,177767,10,1147,0,400400
47317364,1112,177777,0,15,5127,1147,10,0,2001,3,151000,2000,1111,0,10,177767,10,1147,0,400400
47317365,1112,177777,0,15,5127,1147,10,0,2001,10,151000,4000,20000,0,10,177767,0,2407,0,400400
47317366,1113,177777,0,15,5127,1147,10,0,2001,10,151000,4000,20000,0,10,177767,0,2407,0,400400
47317367,1113,177777,0,15,5127,1147,10,0,2001,10,151000,4000,20000,0,10,177767,0,2407,0,400400
47317368,1113,177777,0,15,5127,1147,10,0,2001,10,151000,4000,20000,0,10,177767,0,2407,0,400400
47317369,1113,177777,0,15,5127,1147,10,0,2001,10,151000,4000,20000,0,10,177767,0,2407,0,400400
47317370,1113,177777,0,15,5127,1147,10,0,2001,10,151000,4000,20000,0,10,177767,0,2407,0,400400
47317371,1113,177777,0,15,5127,1147,10,0,2001,10,151000,4000,20000,0,10,177767,0,2407,0,400400
47317372,1113,177777,0,15,5127,1147,10,0,2001,10,151000,4000,20000,0,10,177767,0,2407,0,400400
47317373,1113,177777,0,15,5127,1147,10,0,2001,10,151000,4000,0,0,10,177767,0,0,0,400400
47317374,1114,177777,0,15,5127,1147,10,0,2001,10,151000,4000,0,10,10,177767,0,0,0,400400
47317375,1114,177777,0,15,5127,1147,10,0,2001,10,151000,4000,0,10,10,177767,0,0,0,400400
47317376,1114,177777,0,15,5127,1147,10,0,2001,10,151000,4000,110050,10,25,177767,10,15,0,400400
47317377,1115,177777,0,15,5127,1147,10,0,2001,10,151000,4000,110050,5,25,177767,10,15,0,400400
47317378,1115,177777,0,15,5127,1147,10,0,2001,10,151000,4000,110050,5,25,177767,10,15,0,400400
47317379,1115,177777,0,15,5127,1147,10,0,2001,10,151000,4000,110050,5,25,177767,10,15,0,400400
47317380,1115,177777,0,15,5127,1147,10,0,2001,10,151000,4000,110050,5,25,177767,10,15,0,400400
47317381,1115,177777,0,15,5127,1147,10,0,2001,10,151000,4000,110050,5,25,177767,10,15,0,400400
47317382,1115,177777,0,15,5127,1147,10,0,2001,10,151000,4000,110050,5,25,177767,10,15,0,400400
47317383,1115,177777,0,15,5127,1147,10,0,2001,10,151000,4000,110050,5,25,177767,10,15,0,400400
47317384,1115,177777,0,15,5127,1147,0,0,2001,10,151000,4000,170000,5,0,177777,0,20001,0,400400
47317385,1116,177777,0,15,5127,1147,0,0,2001,10,151000,4000,170000,6,0,177777,0,20001,0,400400
47317386,1116,177777,0,15,5127,1147,0,0,2001,10,151000,4000,170000,6,0,177777,0,20001,0,400400
47317387,1116,177777,0,15,5127,1147,116400,0,2001,0,151000,0,324,6,116400,61377,116400,0,0,400400
47317388,1076,177777,0,15,5127,1147,116400,0,2001,0,151000,0,324,5,116400,61377,116400,0,0,400400
47317389,1117,177777,0,15,5127,1147,116400,0,2001,0,151000,0,324,5,116400,61377,116400,0,0,400400
47317390,1117,177777,0,15,5127,1147,60001,0,2001,0,151000,235,170300,5,0,117776,60001,20001,0,400400
47317391,1120,177777,0,15,5127,1147,60001,0,2001,0,151000,235,170300,4,0,117776,60001,20001,0,400400
47317392,1120,177777,0,15,5127,1147,60001,0,2001,0,151000,235,170300,4,0,117776,60001,20001,0,400400
47317393,1120,177777,0,15,5127,1147,100013,0,2001,0,151000,540,100013,4,100013,77764,100013,110044,0,400400
47317394,1121,177777,0,15,5127,1147,100013,0,2001,0,151000,540,100013,0,100013,77764,100013,110044,0,400400
47317395,1120,177777,0,15,5127,1147,100013,0,2001,0,151000,540,100013,0,100013,77764,100013,110044,0,400400
47317396,1120,177777,0,15,5127,1147,0,0,2001,100013,151000,5600,0,0,0,177777,0,0,0,400400
47317397,1120,177777,0,15,5127,1147,0,0,2001,100013,151000,5600,0,0,0,177777,0,0,0,400400
47317398,1120,177777,0,15,5127,1147,0,0,2001,100013,151000,5600,0,0,0,177777,0,0,0,400400
47317399,1120,177777,0,15,5127,1147,1,0,2001,26,151000,0,0,0,1,177776,0,0,0,400400
47317400,1120,177777,0,15,5127,1147,1,0,2001,26,151000,0,0,0,1,177776,0,0,0,400400
47317401,1120,177777,0,15,5127,1147,1,0,2001,26,151000,0,0,0,1,177776,0,0,0,400400
47317402,1120,177777,0,15,5127,1147,2,0,2001,54,151000,400,0,0,2,177775,0,0,0,400400
47317403,1120,177777,0,15,5127,1147,2,0,2001,54,151000,400,0,0,2,177775,0,0,0,400400
47317404,1120,177777,0,15,5127,1147,2,0,2001,54,151000,400,0,0,2,177775,0,0,0,400400
47317405,1120,177777,0,15,5127,1147,4,0,2001,130,151000,1000,0,0,4,177773,0,0,0,400400
47317406,1120,177777,0,15,5127,1147,4,0,2001,130,151000,1000,0,0,4,177773,0,0,0,400400
47317407,1120,177777,0,15,5127,1147,4,0,2001,130,151000,1000,0,0,4,177773,0,0,0,400400
47317408,1120,177777,0,15,5127,1147,10,0,2001,260,151000,2000,0,0,10,177767,0,0,0,400400
47317409,1120,177777,0,15,5127,1147,10,0,2001,260,151000,2000,0,0,10,177767,0,0,0,400400
47317410,1120,177777,0,15,5127,1147,10,0,2001,260,151000,2000,0,0,10,177767,0,0,0,400400
47317411,1120,177777,0,15,5127,1147,20,0,2001,540,151000,4000,0,0,20,177757,0,0,0,400400
47317412,1120,177777,0,15,5127,1147,20,0,2001,540,151000,4000,0,0,20,177757,0,0,0,400400
47317413,1120,177777,0,15,5127,1147,20,0,2001,540,151000,4000,0,0,20,177757,0,0,0,400400
