tick,CSA,AREG,TREG,RP,RX,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_alu_IDB_15_0_OUT,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_idbctl_IDB_15_0_OUT,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_FIDBO_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0
71250307,0,1206,1206,56151,7515,7672,0,56151,0,55714,171377,177777,0,177777,0
71250308,6000,1206,1206,56151,7515,7672,0,56151,0,55714,171377,177777,0,177777,0
71250309,6000,1206,1206,56151,7515,7672,0,0,0,55714,171377,177777,0,177777,0
71250310,6000,1206,1206,56151,7515,7672,0,0,0,55714,171377,177777,0,177777,0
71250311,6000,1206,1206,56151,7515,7672,0,0,0,55714,171377,177777,0,177777,0
71250312,7400,1206,1206,56151,7515,7672,140065,0,140065,55714,171377,177777,0,177777,0
71250313,7400,1206,1206,56151,7515,7672,140065,0,140065,55714,171377,177777,0,177777,0
71250314,7400,1206,1206,56151,7515,7672,140065,0,140065,55714,171377,177777,0,177777,0
71250315,7400,1206,1206,56151,7515,7672,140065,0,140065,55714,171377,177777,0,177777,0
71250316,7400,1206,1206,56151,7515,7672,140065,0,0,55714,171377,177777,0,177777,0
71250317,7400,1206,1206,56151,7515,7672,140065,0,0,55714,171377,177777,0,177777,0
71250318,7400,1206,1206,56151,7515,7672,140065,0,0,55714,171377,177777,0,177777,0
71250319,215,1206,177777,56152,7515,7672,140065,0,0,55714,140065,1207,0,1207,0
71250320,215,1206,177777,56152,7515,7672,0,0,0,55714,140065,1207,0,1207,0
71250321,0,1206,177777,56152,7515,7672,0,0,0,55714,140065,1207,0,1207,0
71250322,16152,1206,177777,56152,7515,7672,0,0,0,55714,140065,1207,0,1207,0
71250323,16152,1206,177777,56152,7515,7672,0,0,0,55714,140065,1207,0,1207,0
71250324,0,1206,177777,56152,7515,7672,0,56152,0,55714,140065,1207,0,1207,0
71250325,6000,1206,177777,56152,7515,7672,0,56152,0,55714,140065,1207,0,1207,0
71250326,6000,1206,177777,56152,7515,7672,0,0,0,55714,140065,1207,0,1207,0
71250327,6000,1206,177777,56152,7515,7672,0,0,0,55714,140065,1207,0,1207,0
71250328,6000,1206,177777,56152,7515,7672,0,0,0,55714,140065,1207,0,1207,0
71250329,7240,1206,177777,56152,7515,7672,124041,0,124041,55714,140065,1207,0,1207,0
71250330,7240,1206,177777,56152,7515,7672,124041,0,124041,55714,140065,1207,0,1207,34
71250331,7240,1206,177777,56152,7515,7672,124041,0,124041,55714,140065,1207,0,1207,34
71250332,7240,1206,177777,56152,7515,7672,124041,0,124041,55714,140065,1207,0,1207,34
71250333,7240,1206,177777,56152,7515,7672,124041,0,0,55714,140065,1207,0,1207,34
71250334,7240,1206,177777,56152,7515,7672,124041,0,0,55714,140065,1207,0,1207,34
71250335,7240,1206,177777,56152,7515,7672,124041,0,0,55714,140065,1207,0,1207,34
71250336,0,1206,177777,56153,7515,7672,124041,0,0,55714,124041,0,0,0,34
71250337,0,1206,177777,56153,7515,7672,0,0,0,55714,124041,0,0,0,4
71250338,2001,1206,177777,56153,7515,7672,0,0,0,55714,124041,0,0,0,0
71250339,16213,1206,177777,56153,7515,7672,0,0,0,55714,124041,0,0,0,0
71250340,16213,1206,177777,56153,7515,7672,0,0,0,55714,124041,0,0,0,0
