tick,CSA,AREG,TREG,RX,CD16,FIDBO,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0
68391424,6000,376,47,375,0,0,14305,0,60542,124370,0,0,0,60542,177777,0,0
68391425,6000,376,47,375,0,0,0,0,60542,124370,0,0,0,60542,177777,0,0
68391426,6000,376,47,375,0,0,0,0,60542,124370,0,0,0,60542,177777,0,0
68391427,6000,376,47,375,0,0,0,0,60542,124370,0,0,0,60542,177777,0,0
68391428,6546,376,47,375,54611,0,0,54611,60542,124370,0,0,0,60542,177777,0,0
68391429,6546,376,47,375,54611,0,0,54611,60542,124370,0,0,0,60542,177777,0,0
68391430,6546,376,47,375,54611,0,0,54611,60542,124370,0,0,0,60542,177777,0,0
68391431,6546,376,47,375,54611,0,0,54611,60542,124370,0,0,0,60542,177777,0,0
68391432,6546,376,47,375,54611,0,0,0,60542,124370,0,0,0,60542,177777,0,0
68391433,6546,376,47,375,54611,0,0,0,60542,124370,0,0,0,60542,177777,0,0
68391434,6546,376,47,375,54611,0,0,0,60542,124370,0,0,0,60542,177777,0,0
68391435,174,376,47,375,54611,60542,0,0,60542,54611,0,174,0,60542,117235,0,0
68391436,174,376,47,375,0,60542,0,0,60542,54611,0,174,3,60542,117235,0,0
68391437,0,376,47,375,0,60542,0,0,60542,54611,0,174,3,60542,117235,0,0
68391438,0,376,47,375,0,60542,0,0,60542,54611,0,174,3,60542,117235,0,0
68391439,0,376,47,375,0,60542,0,0,60542,54611,0,174,3,60542,117235,0,0
68391440,0,376,47,375,0,60542,7467,0,60542,54611,0,174,3,60542,117235,0,0
68391441,0,376,47,375,0,60542,7467,0,60542,54611,0,174,3,60542,117235,0,0
68391442,0,376,47,375,0,60542,0,0,60542,54611,0,174,3,60542,117235,0,0
68391443,0,376,47,375,0,60542,0,0,60542,54611,0,174,3,60542,117235,0,0
68391444,0,376,47,375,0,60542,0,0,60542,54611,0,174,3,60542,117235,0,0
68391445,0,376,47,375,376,60542,0,376,60542,54611,0,174,3,60542,117235,0,0
68391446,0,376,47,375,376,60542,0,376,60542,54611,0,174,3,60542,117235,0,0
68391447,0,376,47,375,376,60542,0,376,60542,54611,0,174,3,60542,117235,0,0
68391448,0,376,47,375,376,60542,0,376,60542,54611,0,174,3,60542,117235,0,0
68391449,0,376,47,375,376,60542,0,0,60542,54611,0,174,3,60542,117235,0,0
68391450,0,376,47,375,376,60542,0,0,60542,54611,0,174,3,60542,117235,0,0
68391451,0,376,47,375,376,60542,0,0,60542,54611,0,174,3,60542,117235,0,0
68391452,0,376,47,375,376,376,0,0,60542,376,61141,0,3,376,177401,376,0
68391453,0,376,47,375,0,376,0,0,60542,376,61141,0,4,376,177401,376,0
68391454,2001,376,47,375,0,376,0,0,60542,376,61141,0,0,376,177401,376,0
68391455,16306,376,47,375,0,376,0,0,60542,376,61141,0,0,376,177401,376,0
68391456,16306,376,47,375,0,376,0,0,60542,376,61141,0,0,376,177401,376,0
68391457,0,376,47,375,0,376,14306,0,60542,376,61141,0,0,376,177401,376,0
