tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,RD,RL,MEMRD_ADDR,MEMRD_DATA,QREG,DBR
71657297,7317,66,302,2525,66,302,15,1147,12614,2454,0,0,177777,172777
71657298,214,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657299,214,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657300,0,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657301,16524,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657302,16524,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657303,0,65,302,2526,65,302,15,1147,12614,2454,2524,0,177777,131777
71657304,6000,65,302,2526,65,302,15,1147,12614,2454,2524,0,177777,131777
71657305,6000,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657306,6000,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657307,6000,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657308,7727,65,302,2526,65,302,15,1147,12614,2454,0,172777,177777,131777
71657309,7727,65,302,2526,65,302,15,1147,12614,2454,0,172777,177777,131777
71657310,7727,65,302,2526,65,302,15,1147,12614,2454,0,172777,177777,131777
71657311,7727,65,302,2526,65,302,15,1147,12614,2454,0,172777,177777,131777
71657312,7727,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657313,7727,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657314,7727,65,302,2526,65,302,15,1147,12614,2454,0,0,177777,131777
71657315,0,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657316,0,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657317,2001,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657318,16525,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657319,16525,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657320,0,65,302,2525,65,302,15,1147,12614,2454,2525,0,177777,172777
71657321,6000,65,302,2525,65,302,15,1147,12614,2454,2525,0,177777,172777
71657322,6000,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657323,6000,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657324,6000,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657325,7317,65,302,2525,65,302,15,1147,12614,2454,0,131777,177777,172777
71657326,7317,65,302,2525,65,302,15,1147,12614,2454,0,131777,177777,172777
71657327,7317,65,302,2525,65,302,15,1147,12614,2454,0,131777,177777,172777
71657328,7317,65,302,2525,65,302,15,1147,12614,2454,0,131777,177777,172777
71657329,7317,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657330,7317,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657331,7317,65,302,2525,65,302,15,1147,12614,2454,0,0,177777,172777
71657332,214,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657333,214,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657334,0,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657335,16524,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657336,16524,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657337,0,64,302,2526,64,302,15,1147,12614,2454,2524,0,177777,131777
71657338,6000,64,302,2526,64,302,15,1147,12614,2454,2524,0,177777,131777
71657339,6000,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657340,6000,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657341,6000,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657342,7727,64,302,2526,64,302,15,1147,12614,2454,0,172777,177777,131777
71657343,7727,64,302,2526,64,302,15,1147,12614,2454,0,172777,177777,131777
71657344,7727,64,302,2526,64,302,15,1147,12614,2454,0,172777,177777,131777
71657345,7727,64,302,2526,64,302,15,1147,12614,2454,0,172777,177777,131777
71657346,7727,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657347,7727,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657348,7727,64,302,2526,64,302,15,1147,12614,2454,0,0,177777,131777
71657349,0,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657350,0,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657351,2001,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657352,16525,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657353,16525,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657354,0,64,302,2525,64,302,15,1147,12614,2454,2525,0,177777,172777
71657355,6000,64,302,2525,64,302,15,1147,12614,2454,2525,0,177777,172777
71657356,6000,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657357,6000,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657358,6000,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657359,7317,64,302,2525,64,302,15,1147,12614,2454,0,131777,177777,172777
71657360,7317,64,302,2525,64,302,15,1147,12614,2454,0,131777,177777,172777
71657361,7317,64,302,2525,64,302,15,1147,12614,2454,0,131777,177777,172777
71657362,7317,64,302,2525,64,302,15,1147,12614,2454,0,131777,177777,172777
71657363,7317,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657364,7317,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657365,7317,64,302,2525,64,302,15,1147,12614,2454,0,0,177777,172777
71657366,214,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657367,214,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657368,0,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657369,16524,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657370,16524,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657371,0,63,302,2526,63,302,15,1147,12614,2454,2524,0,177777,131777
71657372,6000,63,302,2526,63,302,15,1147,12614,2454,2524,0,177777,131777
71657373,6000,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657374,6000,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657375,6000,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657376,7727,63,302,2526,63,302,15,1147,12614,2454,0,172777,177777,131777
71657377,7727,63,302,2526,63,302,15,1147,12614,2454,0,172777,177777,131777
71657378,7727,63,302,2526,63,302,15,1147,12614,2454,0,172777,177777,131777
71657379,7727,63,302,2526,63,302,15,1147,12614,2454,0,172777,177777,131777
71657380,7727,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657381,7727,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657382,7727,63,302,2526,63,302,15,1147,12614,2454,0,0,177777,131777
71657383,0,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657384,0,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657385,2001,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657386,16525,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657387,16525,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657388,0,63,302,2525,63,302,15,1147,12614,2454,2525,0,177777,172777
71657389,6000,63,302,2525,63,302,15,1147,12614,2454,2525,0,177777,172777
71657390,6000,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657391,6000,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657392,6000,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657393,7317,63,302,2525,63,302,15,1147,12614,2454,0,131777,177777,172777
71657394,7317,63,302,2525,63,302,15,1147,12614,2454,0,131777,177777,172777
71657395,7317,63,302,2525,63,302,15,1147,12614,2454,0,131777,177777,172777
71657396,7317,63,302,2525,63,302,15,1147,12614,2454,0,131777,177777,172777
71657397,7317,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657398,7317,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657399,7317,63,302,2525,63,302,15,1147,12614,2454,0,0,177777,172777
71657400,214,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657401,214,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657402,0,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657403,16524,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657404,16524,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657405,0,62,302,2526,62,302,15,1147,12614,2454,2524,0,177777,131777
71657406,6000,62,302,2526,62,302,15,1147,12614,2454,2524,0,177777,131777
71657407,6000,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657408,6000,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657409,6000,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657410,7727,62,302,2526,62,302,15,1147,12614,2454,0,172777,177777,131777
71657411,7727,62,302,2526,62,302,15,1147,12614,2454,0,172777,177777,131777
71657412,7727,62,302,2526,62,302,15,1147,12614,2454,0,172777,177777,131777
71657413,7727,62,302,2526,62,302,15,1147,12614,2454,0,172777,177777,131777
71657414,7727,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657415,7727,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657416,7727,62,302,2526,62,302,15,1147,12614,2454,0,0,177777,131777
71657417,0,62,302,2525,62,302,15,1147,12614,2454,0,0,177777,172777
71657418,0,62,302,2525,62,302,15,1147,12614,2454,0,0,177777,172777
71657419,2001,62,302,2525,62,302,15,1147,12614,2454,0,0,177777,172777
71657420,16525,62,302,2525,62,302,15,1147,12614,2454,0,0,177777,172777
71657421,16525,62,302,2525,62,302,15,1147,12614,2454,0,0,177777,172777
71657422,0,62,302,2525,62,302,15,1147,12614,2454,2525,0,177777,172777
71657423,6000,62,302,2525,62,302,15,1147,12614,2454,2525,0,177777,172777
71657424,6000,62,302,2525,62,302,15,1147,12614,2454,0,0,177777,172777
71657425,6000,62,302,2525,62,302,15,1147,12614,2454,0,0,177777,172777
71657426,6000,62,302,2525,62,302,15,1147,12614,2454,0,0,177777,172777
71657427,7317,62,302,2525,62,302,15,1147,12614,2454,0,131777,177777,172777
71657428,7317,62,302,2525,62,302,15,1147,12614,2454,0,131777,177777,172777
71657429,7317,62,302,2525,62,302,15,1147,12614,2454,0,131777,177777,172777
