tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR
44038862,6446,7544,1206,55656,55345,7732,44602,0,44602,7732,7544
44038863,6446,7544,1206,55656,55345,7732,44602,0,44602,7732,7544
44038864,6446,7544,1206,55656,55345,7732,44602,0,44602,7732,7544
44038865,6446,7544,1206,55656,55345,7732,44602,0,0,7732,7544
44038866,6446,7544,1206,55656,55345,7732,44602,0,0,7732,7544
44038867,6446,7544,1206,55656,55345,7732,44602,0,0,7732,7544
44038868,170,7544,1206,55656,55345,7732,44602,0,0,7732,44602
44038869,170,7544,1206,55656,55345,7732,0,0,0,7732,44602
44038870,0,7544,1206,55656,55345,7732,0,0,0,7732,44602
44038871,0,7544,1206,55656,55345,7732,0,0,0,7732,44602
44038872,0,7544,1206,55656,55345,7732,0,0,0,7732,44602
44038873,0,7544,1206,55656,55345,7732,0,7534,0,7732,44602
44038874,0,7544,1206,55656,55345,7732,0,7534,0,7732,44602
44038875,0,7544,1206,55656,55345,7732,0,0,0,7732,44602
44038876,0,7544,1206,55656,55345,7732,0,0,0,7732,44602
44038877,0,7544,1206,55656,55345,7732,0,0,0,7732,44602
44038878,0,7544,1206,55656,55345,7732,7555,0,7555,7732,44602
44038879,0,7544,1206,55656,55345,7732,7555,0,7555,7732,44602
44038880,0,7544,1206,55656,55345,7732,7555,0,7555,7732,44602
44038881,0,7544,1206,55656,55345,7732,7555,0,7555,7732,44602
44038882,0,7544,1206,55656,55345,7732,7555,0,0,7732,44602
44038883,0,7544,1206,55656,55345,7732,7555,0,0,7732,44602
44038884,0,7544,1206,55656,55345,7732,7555,0,0,7732,44602
44038885,0,7544,1206,55656,55345,7732,7555,0,0,7732,7555
44038886,0,7544,1206,55656,55345,7732,0,0,0,7732,7555
44038887,2001,7544,1206,55656,55345,7732,0,0,0,7732,7555
44038888,17666,7544,1206,55656,55345,7732,0,0,0,7732,7555
44038889,17666,7544,1206,55656,55345,7732,0,0,0,7732,7555
44038890,0,7544,1206,55656,55345,7732,0,55666,0,7732,7555
44038891,6000,7544,1206,55656,55345,7732,0,55666,0,7732,7555
44038892,6000,7544,1206,55656,55345,7732,0,0,0,7732,7555
44038893,6000,7544,1206,55656,55345,7732,0,0,0,7732,7555
44038894,6000,7544,1206,55656,55345,7732,0,0,0,7732,7555
44038895,7724,7544,1206,55656,55345,7732,172406,0,172406,7732,7555
44038896,7724,7544,1206,55656,55345,7732,172406,0,172406,7732,7555
44038897,7724,7544,1206,55656,55345,7732,172406,0,172406,7732,7555
44038898,7724,7544,1206,55656,55345,7732,172406,0,172406,7732,7555
44038899,7724,7544,1206,55656,55345,7732,172406,0,0,7732,7555
44038900,7724,7544,1206,55656,55345,7732,172406,0,0,7732,7555
44038901,7724,7544,1206,55656,55345,7732,172406,0,0,7732,7555
44038902,0,7555,1206,55656,55345,7732,172406,0,0,7732,172406
44038903,0,7555,1206,55656,55345,7732,0,0,0,7732,172406
44038904,2001,7555,1206,55656,55345,7732,0,0,0,7732,172406
44038905,17667,7555,1206,55656,55345,7732,0,0,0,7732,172406
44038906,17667,7555,1206,55656,55345,7732,0,0,0,7732,172406
44038907,0,7555,1206,55656,55345,7732,0,55667,0,7732,172406
44038908,6000,7555,1206,55656,55345,7732,0,55667,0,7732,172406
44038909,6000,7555,1206,55656,55345,7732,0,0,0,7732,172406
44038910,6000,7555,1206,55656,55345,7732,0,0,0,7732,172406
44038911,6000,7555,1206,55656,55345,7732,0,0,0,7732,172406
44038912,7710,7555,1206,55656,55345,7732,171002,0,171002,7732,172406
44038913,7710,7555,1206,55656,55345,7732,171002,0,171002,7732,172406
44038914,7710,7555,1206,55656,55345,7732,171002,0,171002,7732,172406
44038915,7710,7555,1206,55656,55345,7732,171002,0,171002,7732,172406
44038916,7710,7555,1206,55656,55345,7732,171002,0,0,7732,172406
44038917,7710,7555,1206,55656,55345,7732,171002,0,0,7732,172406
44038918,7710,7555,1206,55656,55345,7732,171002,0,0,7732,172406
44038919,0,7563,1206,55656,55345,7732,171002,0,0,7732,171002
44038920,0,7563,1206,55656,55345,7732,0,0,0,7732,171002
44038921,2001,7563,1206,55656,55345,7732,0,0,0,7732,171002
44038922,17670,7563,1206,55656,55345,7732,0,0,0,7732,171002
44038923,17670,7563,1206,55656,55345,7732,0,0,0,7732,171002
44038924,0,7563,1206,55656,55345,7732,0,55670,0,7732,171002
44038925,6000,7563,1206,55656,55345,7732,0,55670,0,7732,171002
44038926,6000,7563,1206,55656,55345,7732,0,0,0,7732,171002
44038927,6000,7563,1206,55656,55345,7732,0,0,0,7732,171002
44038928,6000,7563,1206,55656,55345,7732,0,0,0,7732,171002
44038929,6540,7563,1206,55656,55345,7732,54017,0,54017,7732,171002
44038930,6540,7563,1206,55656,55345,7732,54017,0,54017,7732,171002
44038931,6540,7563,1206,55656,55345,7732,54017,0,54017,7732,171002
44038932,6540,7563,1206,55656,55345,7732,54017,0,54017,7732,171002
44038933,6540,7563,1206,55656,55345,7732,54017,0,0,7732,171002
44038934,6540,7563,1206,55656,55345,7732,54017,0,0,7732,171002
44038935,6540,7563,1206,55656,55345,7732,54017,0,0,7732,171002
44038936,174,7563,2,55656,55345,7732,54017,0,0,7732,54017
44038937,174,7563,2,55656,55345,7732,0,0,0,7732,54017
44038938,0,7563,2,55656,55345,7732,0,0,0,7732,54017
44038939,0,7563,2,55656,55345,7732,0,0,0,7732,54017
44038940,0,7563,2,55656,55345,7732,0,0,0,7732,54017
44038941,0,7563,2,55656,55345,7732,0,55707,0,7732,54017
44038942,0,7563,2,55656,55345,7732,0,55707,0,7732,54017
44038943,0,7563,2,55656,55345,7732,0,0,0,7732,54017
44038944,0,7563,2,55656,55345,7732,0,0,0,7732,54017
44038945,0,7563,2,55656,55345,7732,0,0,0,7732,54017
44038946,0,7563,2,55656,55345,7732,2771,0,2771,7732,54017
44038947,0,7563,2,55656,55345,7732,2771,0,2771,7732,54017
44038948,0,7563,2,55656,55345,7732,2771,0,2771,7732,54017
44038949,0,7563,2,55656,55345,7732,2771,0,2771,7732,54017
44038950,0,7563,2,55656,55345,7732,2771,0,0,7732,54017
44038951,0,7563,2,55656,55345,7732,2771,0,0,7732,54017
44038952,0,7563,2,55656,55345,7732,2771,0,0,7732,54017
44038953,0,7563,2,55656,55345,7732,2771,0,0,7732,2771
44038954,0,7563,2,55656,55345,7732,0,0,0,7732,2771
44038955,2001,7563,2,55656,55345,7732,0,0,0,7732,2771
44038956,17671,7563,2,55656,55345,7732,0,0,0,7732,2771
44038957,17671,7563,2,55656,55345,7732,0,0,0,7732,2771
44038958,0,7563,2,55656,55345,7732,0,55671,0,7732,2771
44038959,6000,7563,2,55656,55345,7732,0,55671,0,7732,2771
44038960,6000,7563,2,55656,55345,7732,0,0,0,7732,2771
44038961,6000,7563,2,55656,55345,7732,0,0,0,7732,2771
44038962,6000,7563,2,55656,55345,7732,0,0,0,7732,2771
44038963,7350,7563,2,55656,55345,7732,135013,0,135013,7732,2771
44038964,7350,7563,2,55656,55345,7732,135013,0,135013,7732,2771
44038965,7350,7563,2,55656,55345,7732,135013,0,135013,7732,2771
44038966,7350,7563,2,55656,55345,7732,135013,0,135013,7732,2771
44038967,7350,7563,2,55656,55345,7732,135013,0,0,7732,2771
44038968,7350,7563,2,55656,55345,7732,135013,0,0,7732,2771
44038969,7350,7563,2,55656,55345,7732,135013,0,0,7732,2771
44038970,143,7563,2,2771,55345,7732,135013,0,0,7732,135013
44038971,143,7563,2,2771,55345,7732,0,0,0,7732,135013
44038972,0,7563,2,2771,55345,7732,0,0,0,7732,135013
44038973,0,7563,2,2771,55345,7732,0,0,0,7732,135013
44038974,0,7563,2,2771,55345,7732,0,0,0,7732,135013
44038975,0,7563,2,2771,55345,7732,0,55704,0,7732,135013
44038976,0,7563,2,2771,55345,7732,0,55704,0,7732,135013
44038977,0,7563,2,2771,55345,7732,0,0,0,7732,135013
44038978,0,7563,2,2771,55345,7732,0,0,0,7732,135013
44038979,0,7563,2,2771,55345,7732,0,0,0,7732,135013
44038980,0,7563,2,2771,55345,7732,53410,0,53410,7732,135013
44038981,0,7563,2,2771,55345,7732,53410,0,53410,7732,135013
44038982,0,7563,2,2771,55345,7732,53410,0,53410,7732,135013
44038983,0,7563,2,2771,55345,7732,53410,0,53410,7732,135013
44038984,0,7563,2,2771,55345,7732,53410,0,0,7732,135013
44038985,0,7563,2,2771,55345,7732,53410,0,0,7732,135013
44038986,0,7563,2,2771,55345,7732,53410,0,0,7732,135013
