tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
45505762,4331,6,5252,22447,6,5252,5,7753,0,0,22443,142200,0,400400,22011
45505763,4331,6,5252,22447,6,5252,5,7753,0,0,22443,142200,0,400400,22011
45505764,4335,6,5252,22447,6,5252,5,7753,0,0,22443,142200,0,400400,22011
45505765,4335,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505766,4335,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505767,4336,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505768,4336,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505769,4337,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505770,4332,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505771,4332,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505772,4332,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505773,4333,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505774,4333,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505775,4333,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,22011
45505776,4333,6,5252,22447,6,5252,5,7753,5254,0,22443,22443,0,400400,22011
45505777,4333,6,5252,22447,6,5252,5,7753,5254,0,22443,22443,0,400400,22011
45505778,4333,6,5252,22447,6,5252,5,7753,0,0,22443,22443,1,0,22002
45505779,4333,6,5252,22447,6,5252,5,7753,0,0,22443,22443,1,0,4002
45505780,4333,6,5252,22447,6,5252,5,7753,0,0,22443,22443,1,0,5254
45505781,4333,6,5252,22447,6,5252,5,7753,0,51125,22443,22443,1,0,5254
# MARK RU tick=45505781
45505782,4333,6,5252,22447,6,5252,5,7753,0,51125,22443,22443,1,0,5254
45505783,4333,6,5252,22447,6,5252,5,7753,0,51125,22443,22443,1,0,5254
45505784,4333,6,5252,22447,6,5252,5,7753,0,51125,22443,22443,1,0,4000
45505785,4333,6,5252,22447,6,5252,5,7753,0,0,22443,22443,1,400400,4002
45505786,4333,6,5252,22447,6,5252,5,7753,0,0,22443,22443,1,400400,4002
45505787,4333,6,5252,22447,6,5252,5,7753,0,0,22443,22443,0,400400,4002
45505788,4333,6,5252,22447,6,5252,5,7753,0,0,22443,51125,0,400400,4002
45505789,4334,6,5252,22447,6,5252,5,7753,0,0,22443,51125,0,400400,4002
45505790,377,6,5252,22447,6,5252,5,7753,0,0,22443,51125,0,400400,4002
45505791,377,6,5252,22447,6,5252,5,7753,0,0,51125,51125,0,400400,4002
45505792,377,6,5252,22447,6,5252,5,7753,0,0,51125,51125,0,400400,4002
45505793,401,6,5252,22447,6,5252,5,7753,0,0,51125,51125,0,400400,4002
45505794,16447,6,5252,22447,6,5252,5,7753,0,0,51125,51125,0,400400,4002
45505795,16447,6,5252,22447,6,5252,5,7753,0,0,51125,51125,0,400400,4002
45505796,0,6,5252,22447,6,5252,5,7753,22447,0,51125,51125,0,400,4002
45505797,6000,6,5252,22447,6,5252,5,7753,22447,0,51125,51125,0,400,4002
45505798,6000,6,5252,22447,6,5252,5,7753,0,0,51125,51125,1,0,4011
45505799,6000,6,5252,22447,6,5252,5,7753,0,0,51125,51125,1,0,22011
45505800,6000,6,5252,22447,6,5252,5,7753,0,0,51125,51125,1,0,22447
45505801,6046,6,5252,22447,6,5252,5,7753,0,4607,51125,51125,1,0,22447
45505802,6046,6,5252,22447,6,5252,5,7753,0,4607,51125,51125,1,0,22447
45505803,6046,6,5252,22447,6,5252,5,7753,0,4607,51125,51125,1,0,22447
45505804,6046,6,5252,22447,6,5252,5,7753,0,4607,51125,51125,1,0,22000
45505805,6046,6,5252,22447,6,5252,5,7753,0,0,51125,51125,1,400400,22011
45505806,6046,6,5252,22447,6,5252,5,7753,0,0,51125,51125,1,400400,22011
