tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
45207395,0,0,0,1,122,5252,10,1164,4,4345
45207396,0,0,0,1,122,5252,10,1164,4,4345
45207397,5254,0,0,1,122,5252,10,1164,4,4345
# MARK w2 tick=45207397
45207398,5254,0,0,1,122,5252,10,1164,4,4345
45207399,0,0,0,1,122,5252,10,1164,4,4345
45207400,0,0,0,1,122,5252,10,1164,4,4345
45207401,0,0,0,1,122,5252,10,1164,4,4345
45207402,0,0,0,1,122,5252,10,1164,4,4345
45207403,0,0,0,1,122,5252,10,1164,4,4345
45207404,0,0,0,1,122,5252,10,1164,4,4345
45207405,0,0,0,1,122,5252,10,1164,4,4345
45207406,0,0,0,1,122,5252,10,1164,4,4345
45207407,0,0,0,1,122,5252,10,1164,4,4345
45207408,0,0,0,1,122,5252,10,1164,4,4345
45207409,0,0,0,0,122,5252,10,1164,4,4345
45207410,0,0,0,0,122,5252,10,1164,4,4345
45207411,0,0,0,0,122,5252,10,1164,4,4346
45207412,0,0,377,377,122,5252,10,1164,4,4346
45207413,0,0,377,377,122,5252,10,1164,4,4347
45207427,0,0,51000,51000,122,5252,10,1164,4,0
45207428,0,0,51000,51000,122,5252,10,1164,4,0
45207429,5254,0,51000,51000,122,5252,10,1164,4,0
# MARK w2 tick=45207429
45207430,5254,0,51000,51000,122,5252,10,1164,4,0
45207431,0,0,51000,51000,122,5252,10,1164,4,0
45207432,51000,0,51000,51000,122,5252,10,1164,4,0
45207433,51000,0,0,0,122,5252,10,1164,4,0
45207434,51000,0,0,0,122,5252,10,1164,4,0
45207435,51000,0,0,0,122,5252,10,1164,4,2001
45207436,51000,0,0,0,122,5252,10,1164,4,16423
45207437,51000,0,0,0,122,5252,10,1164,4,16423
45207438,51000,0,0,0,122,5252,10,1164,4,0
45207439,0,0,0,0,122,5252,10,1164,4,0
45207440,22423,0,0,0,122,5252,10,1164,4,0
45207441,22423,0,0,0,122,5252,10,1164,4,6000
45207442,0,0,0,0,122,5252,10,1164,4,6000
45207443,0,0,0,0,122,5252,10,1164,4,6000
45207444,0,0,0,0,122,5252,10,1164,4,6000
45207445,0,5013,5013,0,122,5252,10,1164,4,6050
45209128,0,0,0,1,5,5252,55345,7753,4,4334
45209129,0,0,0,1,5,5252,55345,7753,4,4334
45209130,5254,0,0,1,5,5252,55345,7753,4,4334
# MARK w2 tick=45209130
45209131,5254,0,0,1,5,5252,55345,7753,4,4334
45209132,0,0,0,1,5,5252,55345,7753,4,4334
45209133,0,0,0,1,5,5252,55345,7753,4,4334
45209134,0,0,0,1,5,5252,55345,7753,4,4334
45209135,0,51000,51000,1,5,5252,55345,7753,4,4334
45209136,0,51000,51000,1,5,5252,55345,7753,4,4334
45209137,0,51000,51000,1,5,5252,55345,7753,4,4334
45209138,0,51000,51000,1,5,5252,55345,7753,4,4334
45209139,0,0,51000,1,5,5252,55345,7753,4,4334
45209140,0,0,51000,1,5,5252,55345,7753,4,4334
45209141,0,0,51000,1,5,5252,55345,7753,4,4334
45209142,0,0,51000,51000,5,5252,55345,7753,4,4334
45209143,0,0,51000,51000,5,5252,55345,7753,4,4334
45209144,0,0,51000,51000,5,5252,55345,7753,4,4333
45209145,0,0,122,122,5,5252,55345,7753,4,4333
45209146,0,0,122,122,5,5252,55345,7753,4,4333
45243505,0,0,0,1,122,12023,55672,7707,4,4345
45243506,0,0,0,1,122,12023,55672,7707,4,4345
45243507,12025,0,0,1,122,12023,55672,7707,4,4345
# MARK w2 tick=45243507
45243508,12025,0,0,1,122,12023,55672,7707,4,4345
45243509,0,0,0,1,122,12023,55672,7707,4,4345
45243510,0,0,0,1,122,12023,55672,7707,4,4345
45243511,0,0,0,1,122,12023,55672,7707,4,4345
45243512,0,0,0,1,122,12023,55672,7707,4,4345
45243513,0,0,0,1,122,12023,55672,7707,4,4345
45243514,0,0,0,1,122,12023,55672,7707,4,4345
45243515,0,0,0,1,122,12023,55672,7707,4,4345
45243516,0,0,0,1,122,12023,55672,7707,4,4345
45243517,0,0,0,1,122,12023,55672,7707,4,4345
45243518,0,0,0,1,122,12023,55672,7707,4,4345
45243519,0,0,0,0,122,12023,55672,7707,4,4345
45243520,0,0,0,0,122,12023,55672,7707,4,4345
45243521,0,0,0,0,122,12023,55672,7707,4,4346
45243522,0,0,377,377,122,12023,55672,7707,4,4346
45243523,0,0,377,377,122,12023,55672,7707,4,4347
45243537,0,0,51000,51000,122,12023,55672,7707,4,0
45243538,0,0,51000,51000,122,12023,55672,7707,4,0
45243539,12025,0,51000,51000,122,12023,55672,7707,4,0
# MARK w2 tick=45243539
45243540,12025,0,51000,51000,122,12023,55672,7707,4,0
45243541,0,0,51000,51000,122,12023,55672,7707,4,0
45243542,51000,0,51000,51000,122,12023,55672,7707,4,0
45243543,51000,0,0,0,122,12023,55672,7707,4,0
45243544,51000,0,0,0,122,12023,55672,7707,4,0
45243545,51000,0,0,0,122,12023,55672,7707,4,2001
45243546,51000,0,0,0,122,12023,55672,7707,4,16166
45243547,51000,0,0,0,122,12023,55672,7707,4,16166
45243548,51000,0,0,0,122,12023,55672,7707,4,0
45243549,0,0,0,0,122,12023,55672,7707,4,0
45243550,20166,0,0,0,122,12023,55672,7707,4,0
45243551,20166,0,0,0,122,12023,55672,7707,4,6000
45243552,0,0,0,0,122,12023,55672,7707,4,6000
45243553,0,0,0,0,122,12023,55672,7707,4,6000
45243554,0,0,0,0,122,12023,55672,7707,4,6000
45243555,0,44612,44612,0,122,12023,55672,7707,4,6446
45504061,0,0,0,1,125,5252,10,1164,5,4342
45504062,0,0,0,1,125,5252,10,1164,5,4342
45504063,5254,0,0,1,125,5252,10,1164,5,4342
# MARK w2 tick=45504063
