tick,CD16,AREG,TREG,FIDBO,CPUIDB,IOIDB8,THR,TXBYTE,CSA_12_0
44001962,15,177777,110044,15,15,15,76,76,1131
44001963,15,177777,110044,15,15,15,76,76,1131
44001964,15,177777,110044,15,15,15,76,76,1133
44001965,2522,177777,110044,2522,2522,122,76,76,1133
# MARK idbR tick=44001965
44001966,2522,177777,110044,2522,2522,122,76,76,1133
44001967,2522,177777,110044,2522,2522,122,76,76,1134
44001968,15,177777,110044,15,15,15,76,76,1134
44001969,15,177777,110044,15,15,15,76,76,1135
44002025,7732,177777,110044,7732,7732,332,76,76,1151
44002026,7732,177777,110044,7732,7732,332,76,76,1151
44002027,7732,177777,110044,7732,7732,332,76,76,1151
44002028,2522,177777,110044,2522,2522,122,76,76,1151
# MARK idbR tick=44002028
44002029,2522,177777,110044,2522,2522,122,76,76,1151
44002030,2522,177777,110044,2522,2522,122,76,76,1151
44002031,55345,177777,110044,55345,55345,345,76,76,1151
44002032,55345,177777,110044,55345,55345,345,76,76,1151
44003638,15,111,116400,15,15,15,76,76,1131
44003639,15,111,116400,15,15,15,76,76,1131
44003640,15,111,116400,15,15,15,76,76,1133
44003641,2522,111,116400,2522,2522,122,76,76,1133
# MARK idbR tick=44003641
44003642,2522,111,116400,2522,2522,122,76,76,1133
44003643,2522,111,116400,2522,2522,122,76,76,1134
44003644,15,111,116400,15,15,15,76,76,1134
44003645,15,111,116400,15,15,15,76,76,1135
44003896,173577,111,116400,755,755,355,76,76,7735
44003897,173577,111,116400,755,755,355,76,76,7735
44003898,173577,111,116400,755,755,355,76,76,7735
44003899,173577,111,116400,177,177,177,76,76,0
# MARK idb7f tick=44003899
44003900,0,111,116400,177,177,177,76,76,0
44003901,0,111,116400,177,177,177,76,76,2001
44003902,0,111,116400,177,177,177,76,76,17157
44003903,0,111,116400,177,177,177,76,76,17157
44004719,173577,111,17,764,764,364,76,76,7735
44004720,173577,111,17,764,764,364,76,76,7735
44004721,173577,111,17,764,764,364,76,76,7735
44004722,173577,111,17,177,177,177,76,76,0
# MARK idb7f tick=44004722
44004723,0,111,17,177,177,177,76,76,0
44004724,0,111,17,177,177,177,76,76,2001
44004725,0,111,17,177,177,177,76,76,17157
44004726,0,111,17,177,177,177,76,76,17157
44006118,7732,177777,110044,7732,7732,332,76,76,1156
44006119,7732,177777,110044,7732,7732,332,76,76,1156
44006120,7732,177777,110044,7732,7732,332,76,76,1156
44006121,2522,177777,110044,2522,2522,122,76,76,1156
# MARK idbR tick=44006121
44006122,2522,177777,110044,2522,2522,122,76,76,1156
44006123,2522,177777,110044,2522,2522,122,76,76,1156
44006124,55345,177777,110044,55345,55345,345,76,76,1156
44006125,55345,177777,110044,55345,55345,345,76,76,1156
44006487,173577,1,110044,7553,7553,153,76,76,7735
44006488,173577,1,110044,7553,7553,153,76,76,7735
44006489,173577,1,110044,7553,7553,153,76,76,7735
44006490,173577,1,110044,177,177,177,76,76,0
# MARK idb7f tick=44006490
44006491,0,1,110044,177,177,177,76,76,0
44006492,0,1,110044,177,177,177,76,76,2001
44006493,0,1,110044,177,177,177,76,76,17157
44006494,0,1,110044,177,177,177,76,76,17157
44013301,15,177777,116400,15,15,15,76,76,1131
44013302,15,177777,116400,15,15,15,76,76,1131
44013303,15,177777,116400,15,15,15,76,76,1133
44013304,2522,177777,116400,2522,2522,122,76,76,1133
# MARK idbR tick=44013304
44013305,2522,177777,116400,2522,2522,122,76,76,1133
44013306,2522,177777,116400,2522,2522,122,76,76,1134
44013307,15,177777,116400,15,15,15,76,76,1134
44013308,15,177777,116400,15,15,15,76,76,1135
44014237,177,111,1,7707,7707,307,76,76,0
44014238,177,111,1,7707,7707,307,76,76,0
44014239,177,111,1,7707,7707,307,76,76,0
44014240,177,111,1,177,177,177,76,76,0
# MARK idb7f tick=44014240
44014241,0,111,1,177,177,177,76,76,0
44014242,0,111,1,177,177,177,76,76,2001
44014243,0,111,1,177,177,177,76,76,17522
44014244,0,111,1,177,177,177,76,76,17522
44014757,171177,111,77,111,111,111,76,76,7711
44014758,171177,111,77,111,111,111,76,76,7711
44014759,171177,111,77,111,111,111,76,76,7711
44014760,171177,111,77,177,177,177,76,76,0
# MARK idb7f tick=44014760
44014761,0,111,77,177,177,177,76,76,0
44014762,0,111,77,177,177,177,76,76,2001
44014763,0,111,77,177,177,177,76,76,17727
44014764,0,111,77,177,177,177,76,76,17727
44015608,173577,111,176,7532,7532,132,76,76,7735
44015609,173577,111,176,7532,7532,132,76,76,7735
44015610,173577,111,176,7532,7532,132,76,76,7735
44015611,173577,111,176,177,177,177,76,76,0
# MARK idb7f tick=44015611
44015612,0,111,176,177,177,177,76,76,0
44015613,0,111,176,177,177,177,76,76,2001
44015614,0,111,176,177,177,177,76,76,17157
44015615,0,111,176,177,177,177,76,76,17157
44021544,15,177777,116400,15,15,15,76,76,1131
44021545,15,177777,116400,15,15,15,76,76,1131
44021546,15,177777,116400,15,15,15,76,76,1133
44021547,2522,177777,116400,2522,2522,122,76,76,1133
# MARK idbR tick=44021547
44021548,2522,177777,116400,2522,2522,122,76,76,1133
44021549,2522,177777,116400,2522,2522,122,76,76,1134
44021550,15,177777,116400,15,15,15,76,76,1134
44021551,15,177777,116400,15,15,15,76,76,1135
44022926,173577,1206,177776,7555,7555,155,76,76,7735
44022927,173577,1206,177776,7555,7555,155,76,76,7735
44022928,173577,1206,177776,7555,7555,155,76,76,7735
44022929,173577,1206,177776,177,177,177,76,76,0
# MARK idb7f tick=44022929
44022930,0,1206,177776,177,177,177,76,76,0
44022931,0,1206,177776,177,177,177,76,76,2001
44022932,0,1206,177776,177,177,177,76,76,17157
44022933,0,1206,177776,177,177,177,76,76,17157
44023858,173577,1206,1206,7555,7555,155,76,76,7735
44023859,173577,1206,1206,7555,7555,155,76,76,7735
44023860,173577,1206,1206,7555,7555,155,76,76,7735
44023861,173577,1206,1206,177,177,177,76,76,0
# MARK idb7f tick=44023861
44023862,0,1206,1206,177,177,177,76,76,0
44023863,0,1206,1206,177,177,177,76,76,2001
44023864,0,1206,1206,177,177,177,76,76,17157
