tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
56635545,23755,0,0,376,0,40,36,7632,23737,0
56635546,23755,0,0,376,0,40,36,7632,23737,6000
56635547,0,0,0,376,0,40,36,7632,23737,6000
56635548,0,0,0,376,0,40,36,7632,23737,6000
56635549,0,0,0,376,0,40,36,7632,23737,6000
56635550,0,146575,146575,376,0,40,36,7632,23737,7465
56635551,0,146575,146575,376,0,40,36,7632,23737,7465
56635552,0,146575,146575,376,0,40,36,7632,23737,7465
56635553,0,146575,146575,376,0,40,36,7632,23737,7465
56635554,0,0,146575,376,0,40,36,7632,23737,7465
56635555,0,0,146575,376,0,40,36,7632,23737,7465
56635556,0,0,146575,376,0,40,36,7632,23737,7465
56635557,0,0,146575,377,0,40,36,7632,376,145
56635558,0,0,0,377,0,40,36,7632,376,145
56635559,0,0,0,377,0,40,36,7632,376,0
56635560,0,0,0,377,0,40,36,7632,376,17756
56635561,0,0,0,377,0,40,36,7632,376,17756
56635562,23756,0,0,377,0,40,36,7632,376,0
56635563,23756,0,0,377,0,40,36,7632,376,6000
56635564,0,0,0,377,0,40,36,7632,376,6000
56635565,0,0,0,377,0,40,36,7632,376,6000
56635566,0,0,0,377,0,40,36,7632,376,6000
56635567,0,4615,4615,377,0,40,36,7632,376,6046
56635568,0,4615,4615,377,0,40,36,7632,376,6046
56635569,0,4615,4615,377,0,40,36,7632,376,6046
56635570,0,4615,4615,377,0,40,36,7632,376,6046
56635571,0,0,4615,377,0,40,36,7632,376,6046
56635572,0,0,4615,377,0,40,36,7632,376,6046
56635573,0,0,4615,377,0,40,36,7632,376,6046
56635574,0,0,4777,377,377,40,36,7632,376,145
# MARK ra tick=56635574
56635575,0,0,377,377,377,40,36,7632,376,145
56635576,0,0,377,377,377,40,36,7632,376,0
56635577,0,0,377,377,377,40,36,7632,376,0
56636678,7472,0,0,23513,0,7462,3,7664,7516,0
56636679,7472,0,0,23513,0,7462,3,7664,7516,0
56636680,0,0,0,23513,0,7462,3,7664,7516,0
56636681,0,0,0,23513,0,7462,3,7664,7516,0
56636682,0,0,0,23513,0,7462,3,7664,7516,0
56636683,0,377,377,23513,0,7462,3,7664,7516,0
56636684,0,377,377,23513,0,7462,3,7664,7516,0
56636685,0,377,377,23513,0,7462,3,7664,7516,0
56636686,0,377,377,23513,0,7462,3,7664,7516,0
56636687,0,0,377,23513,0,7462,3,7664,7516,0
56636688,0,0,377,23513,0,7462,3,7664,7516,0
56636689,0,0,377,23513,0,7462,3,7664,7516,0
56636690,0,0,377,377,0,7462,3,7664,7516,0
56636691,0,0,0,377,0,7462,3,7664,7516,0
56636692,0,0,0,377,0,7462,3,7664,7516,2001
56636693,0,0,0,377,0,7462,3,7664,7516,17515
56636694,0,0,0,377,0,7462,3,7664,7516,17515
56636695,23515,0,0,377,0,7462,3,7664,7516,0
