tick,RP,CSA,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.TVEC_3_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_gates1_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_gates9_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_wip_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_pgf_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_pgu_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_pviol_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_vacc,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_iwrite,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_ifetch,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_iind,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_ipt_15_9,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_ipcr_1_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_poni,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.TRAP_TVGEN.s_l2v1_n,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.TRAP_TVGEN.s_l3v1_n,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.TRAP_TVGEN.s_l2v2_n,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.TRAP_TVGEN.s_l2v0_n
214920899,121650,657,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920900,121650,326,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920901,121650,326,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920902,121650,326,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920903,121650,327,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920904,121650,327,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920905,121650,330,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920906,121650,660,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920907,121650,660,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920908,121650,660,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920909,121650,3650,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920910,121650,3650,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920911,121650,3650,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920912,121650,662,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920913,121650,662,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920914,121650,662,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920915,121650,677,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920916,121650,677,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920917,121650,677,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920918,121650,700,17,0,0,0,0,0,0,0,0,0,0,176,2,0,0,0,0,0
214920919,121650,700,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920920,121650,701,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920921,121650,145,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920922,121650,145,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920923,121650,145,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920924,121650,0,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920925,121650,0,17,0,0,0,0,0,0,1,0,1,0,176,2,1,0,0,0,0
214920926,121650,0,17,0,0,0,0,0,0,1,0,1,0,176,2,1,0,0,0,0
214920927,121650,2001,17,0,0,0,0,0,0,1,0,1,0,176,2,1,0,0,0,0
214920928,121650,17650,17,0,0,0,0,0,0,1,0,1,0,176,2,1,0,0,0,0
214920929,121650,17650,17,0,0,0,0,0,0,1,0,1,0,176,2,1,0,0,0,0
214920930,121650,0,17,0,0,0,0,0,0,1,0,1,0,176,2,1,0,0,0,0
