tick,UART_DIN,UART_CE_n,UART_WR,UART_ADDR,MEMRD_ADDR,MEMRD_DATA,CD16,DBR,QREG,RA,RT,RD,RB,RX,CSA_12_0
44037710,377,1,1,3,0,0,0,172777,177777,4,302,4311,1147,15,6000
44037711,377,1,1,3,0,131777,131777,172777,177777,4,302,4311,1147,15,7317
44037712,377,1,1,3,0,131777,131777,172777,177777,4,302,4311,1147,15,7317
44037713,377,1,1,3,0,131777,131777,172777,177777,4,302,4311,1147,15,7317
44037714,377,1,1,3,0,131777,131777,172777,177777,4,302,4311,1147,15,7317
44037715,377,1,1,3,0,0,131777,172777,177777,4,302,4311,1147,15,7317
44037716,377,1,1,3,0,0,131777,172777,177777,4,302,4311,1147,15,7317
44037717,377,1,1,3,0,0,131777,172777,177777,4,302,4311,1147,15,7317
44037718,0,1,1,3,0,0,131777,131777,177777,3,302,4311,1147,15,214
44037719,0,1,1,3,0,0,0,131777,177777,3,302,4311,1147,15,214
44037720,0,1,1,3,0,0,0,131777,177777,3,302,4311,1147,15,0
44037721,0,1,1,3,0,0,0,131777,177777,3,302,4311,1147,15,16524
44037722,0,1,1,3,0,0,0,131777,177777,3,302,4311,1147,15,16524
44037723,0,1,1,3,2524,0,0,131777,177777,3,302,4311,1147,15,0
44037724,0,1,1,3,2524,0,0,131777,177777,3,302,4311,1147,15,6000
44037725,0,1,1,3,0,0,0,131777,177777,3,302,4311,1147,15,6000
44037726,0,1,1,3,0,0,0,131777,177777,3,302,4311,1147,15,6000
44037727,0,1,1,3,0,0,0,131777,177777,3,302,4311,1147,15,6000
44037728,0,1,1,3,0,172777,172777,131777,177777,3,302,4311,1147,15,7727
44037729,0,1,1,3,0,172777,172777,131777,177777,3,302,4311,1147,15,7727
44037730,0,1,1,3,0,172777,172777,131777,177777,3,302,4311,1147,15,7727
44037731,0,1,1,3,0,172777,172777,131777,177777,3,302,4311,1147,15,7727
44037732,0,1,1,3,0,0,172777,131777,177777,3,302,4311,1147,15,7727
44037733,0,1,1,3,0,0,172777,131777,177777,3,302,4311,1147,15,7727
44037734,0,1,1,3,0,0,172777,131777,177777,3,302,4311,1147,15,7727
44037735,377,1,1,3,0,0,172777,172777,177777,3,302,4311,1147,15,0
44037736,377,1,1,3,0,0,0,172777,177777,3,302,4311,1147,15,0
44037737,377,1,1,3,0,0,0,172777,177777,3,302,4311,1147,15,2001
44037738,377,1,1,3,0,0,0,172777,177777,3,302,4311,1147,15,16525
44037739,377,1,1,3,0,0,0,172777,177777,3,302,4311,1147,15,16525
44037740,377,1,1,3,2525,0,0,172777,177777,3,302,4311,1147,15,0
44037741,377,1,1,3,2525,0,0,172777,177777,3,302,4311,1147,15,6000
44037742,377,1,1,3,0,0,0,172777,177777,3,302,4311,1147,15,6000
44037743,377,1,1,3,0,0,0,172777,177777,3,302,4311,1147,15,6000
44037744,377,1,1,3,0,0,0,172777,177777,3,302,4311,1147,15,6000
44037745,377,1,1,3,0,131777,131777,172777,177777,3,302,4311,1147,15,7317
44037746,377,1,1,3,0,131777,131777,172777,177777,3,302,4311,1147,15,7317
44037747,377,1,1,3,0,131777,131777,172777,177777,3,302,4311,1147,15,7317
44037748,377,1,1,3,0,131777,131777,172777,177777,3,302,4311,1147,15,7317
44037749,377,1,1,3,0,0,131777,172777,177777,3,302,4311,1147,15,7317
44037750,377,1,1,3,0,0,131777,172777,177777,3,302,4311,1147,15,7317
44037751,377,1,1,3,0,0,131777,172777,177777,3,302,4311,1147,15,7317
44037752,0,1,1,3,0,0,131777,131777,177777,2,302,4311,1147,15,214
44037753,0,1,1,3,0,0,0,131777,177777,2,302,4311,1147,15,214
44037754,0,1,1,3,0,0,0,131777,177777,2,302,4311,1147,15,0
44037755,0,1,1,3,0,0,0,131777,177777,2,302,4311,1147,15,16524
44037756,0,1,1,3,0,0,0,131777,177777,2,302,4311,1147,15,16524
44037757,0,1,1,3,2524,0,0,131777,177777,2,302,4311,1147,15,0
44037758,0,1,1,3,2524,0,0,131777,177777,2,302,4311,1147,15,6000
44037759,0,1,1,3,0,0,0,131777,177777,2,302,4311,1147,15,6000
44037760,0,1,1,3,0,0,0,131777,177777,2,302,4311,1147,15,6000
44037761,0,1,1,3,0,0,0,131777,177777,2,302,4311,1147,15,6000
44037762,0,1,1,3,0,172777,172777,131777,177777,2,302,4311,1147,15,7727
44037763,0,1,1,3,0,172777,172777,131777,177777,2,302,4311,1147,15,7727
44037764,0,1,1,3,0,172777,172777,131777,177777,2,302,4311,1147,15,7727
44037765,0,1,1,3,0,172777,172777,131777,177777,2,302,4311,1147,15,7727
44037766,0,1,1,3,0,0,172777,131777,177777,2,302,4311,1147,15,7727
44037767,0,1,1,3,0,0,172777,131777,177777,2,302,4311,1147,15,7727
44037768,0,1,1,3,0,0,172777,131777,177777,2,302,4311,1147,15,7727
44037769,377,1,1,3,0,0,172777,172777,177777,2,302,4311,1147,15,0
44037770,377,1,1,3,0,0,0,172777,177777,2,302,4311,1147,15,0
44037771,377,1,1,3,0,0,0,172777,177777,2,302,4311,1147,15,2001
44037772,377,1,1,3,0,0,0,172777,177777,2,302,4311,1147,15,16525
44037773,377,1,1,3,0,0,0,172777,177777,2,302,4311,1147,15,16525
44037774,377,1,1,3,2525,0,0,172777,177777,2,302,4311,1147,15,0
44037775,377,1,1,3,2525,0,0,172777,177777,2,302,4311,1147,15,6000
44037776,377,1,1,3,0,0,0,172777,177777,2,302,4311,1147,15,6000
44037777,377,1,1,3,0,0,0,172777,177777,2,302,4311,1147,15,6000
44037778,377,1,1,3,0,0,0,172777,177777,2,302,4311,1147,15,6000
44037779,377,1,1,3,0,131777,131777,172777,177777,2,302,4311,1147,15,7317
44037780,377,1,1,3,0,131777,131777,172777,177777,2,302,4311,1147,15,7317
44037781,377,1,1,3,0,131777,131777,172777,177777,2,302,4311,1147,15,7317
44037782,377,1,1,3,0,131777,131777,172777,177777,2,302,4311,1147,15,7317
44037783,377,1,1,3,0,0,131777,172777,177777,2,302,4311,1147,15,7317
44037784,377,1,1,3,0,0,131777,172777,177777,2,302,4311,1147,15,7317
44037785,377,1,1,3,0,0,131777,172777,177777,2,302,4311,1147,15,7317
44037786,0,1,1,3,0,0,131777,131777,177777,1,302,4311,1147,15,214
44037787,0,1,1,3,0,0,0,131777,177777,1,302,4311,1147,15,214
44037788,0,1,1,3,0,0,0,131777,177777,1,302,4311,1147,15,0
44037789,0,1,1,3,0,0,0,131777,177777,1,302,4311,1147,15,16524
44037790,0,1,1,3,0,0,0,131777,177777,1,302,4311,1147,15,16524
44037791,0,1,1,3,2524,0,0,131777,177777,1,302,4311,1147,15,0
44037792,0,1,1,3,2524,0,0,131777,177777,1,302,4311,1147,15,6000
44037793,0,1,1,3,0,0,0,131777,177777,1,302,4311,1147,15,6000
44037794,0,1,1,3,0,0,0,131777,177777,1,302,4311,1147,15,6000
44037795,0,1,1,3,0,0,0,131777,177777,1,302,4311,1147,15,6000
44037796,0,1,1,3,0,172777,172777,131777,177777,1,302,4311,1147,15,7727
44037797,0,1,1,3,0,172777,172777,131777,177777,1,302,4311,1147,15,7727
44037798,0,1,1,3,0,172777,172777,131777,177777,1,302,4311,1147,15,7727
44037799,0,1,1,3,0,172777,172777,131777,177777,1,302,4311,1147,15,7727
44037800,0,1,1,3,0,0,172777,131777,177777,1,302,4311,1147,15,7727
44037801,0,1,1,3,0,0,172777,131777,177777,1,302,4311,1147,15,7727
44037802,0,1,1,3,0,0,172777,131777,177777,1,302,4311,1147,15,7727
44037803,377,1,1,3,0,0,172777,172777,177777,1,302,4311,1147,15,0
44037804,377,1,1,3,0,0,0,172777,177777,1,302,4311,1147,15,0
44037805,377,1,1,3,0,0,0,172777,177777,1,302,4311,1147,15,2001
44037806,377,1,1,3,0,0,0,172777,177777,1,302,4311,1147,15,16525
44037807,377,1,1,3,0,0,0,172777,177777,1,302,4311,1147,15,16525
44037808,377,1,1,3,2525,0,0,172777,177777,1,302,4311,1147,15,0
44037809,377,1,1,3,2525,0,0,172777,177777,1,302,4311,1147,15,6000
44037810,377,1,1,3,0,0,0,172777,177777,1,302,4311,1147,15,6000
44037811,377,1,1,3,0,0,0,172777,177777,1,302,4311,1147,15,6000
44037812,377,1,1,3,0,0,0,172777,177777,1,302,4311,1147,15,6000
44037813,377,1,1,3,0,131777,131777,172777,177777,1,302,4311,1147,15,7317
44037814,377,1,1,3,0,131777,131777,172777,177777,1,302,4311,1147,15,7317
44037815,377,1,1,3,0,131777,131777,172777,177777,1,302,4311,1147,15,7317
44037816,377,1,1,3,0,131777,131777,172777,177777,1,302,4311,1147,15,7317
44037817,377,1,1,3,0,0,131777,172777,177777,1,302,4311,1147,15,7317
44037818,377,1,1,3,0,0,131777,172777,177777,1,302,4311,1147,15,7317
44037819,377,1,1,3,0,0,131777,172777,177777,1,302,4311,1147,15,7317
44037820,0,1,1,3,0,0,131777,131777,177777,0,302,4311,1147,15,214
44037821,0,1,1,3,0,0,0,131777,177777,0,302,4311,1147,15,214
44037822,0,1,1,3,0,0,0,131777,177777,0,302,4311,1147,15,0
44037823,0,1,1,3,0,0,0,131777,177777,0,302,4311,1147,15,16524
44037824,0,1,1,3,0,0,0,131777,177777,0,302,4311,1147,15,16524
44037825,0,1,1,3,0,0,0,131777,177777,0,302,4311,1147,15,0
44037826,0,1,1,3,0,0,0,131777,177777,0,302,4311,1147,15,0
44037827,377,1,1,3,0,0,0,0,177777,0,302,4311,1147,15,0
44037828,377,1,1,3,0,0,0,0,177777,0,302,4311,1147,15,0
44037829,377,1,1,3,0,0,0,0,177777,0,302,4311,1147,15,2001
44037830,377,1,1,3,0,0,0,0,177777,0,302,4311,1147,15,16526
44037831,377,1,1,3,0,0,0,0,177777,0,302,4311,1147,15,16526
44037832,377,1,1,3,2526,0,0,0,177777,0,302,4311,1147,15,0
44037833,377,1,1,3,2526,0,0,0,177777,0,302,4311,1147,15,6000
44037834,377,1,1,3,0,0,0,0,177777,0,302,4311,1147,15,6000
44037835,377,1,1,3,0,0,0,0,177777,0,302,4311,1147,15,6000
44037836,377,1,1,3,0,0,0,0,177777,0,302,4311,1147,15,6000
44037837,377,1,1,3,0,124370,124370,0,177777,0,302,4311,1147,15,7243
44037838,377,1,1,3,0,124370,124370,0,177777,0,302,4311,1147,15,7243
44037839,377,1,1,3,0,124370,124370,0,177777,0,302,4311,1147,15,7243
44037840,377,1,1,3,0,124370,124370,0,177777,0,302,4311,1147,15,7243
44037841,377,1,1,3,0,0,124370,0,177777,0,302,4311,1147,15,7243
44037842,377,1,1,3,0,0,124370,0,177777,0,302,4311,1147,15,7243
44037843,377,1,1,3,0,0,124370,0,177777,0,302,4311,1147,15,7243
44037844,0,1,1,0,0,0,124370,124370,177777,0,302,4311,1147,15,0
44037845,0,1,1,0,0,0,0,124370,177777,0,302,4311,1147,15,0
44037846,0,1,1,0,0,0,0,124370,177777,0,302,4311,1147,15,2001
44037847,0,1,1,0,0,0,0,124370,177777,0,302,4311,1147,15,16516
44037848,0,1,1,0,0,0,0,124370,177777,0,302,4311,1147,15,16516
44037849,0,1,1,0,2516,0,0,124370,177777,0,302,4311,1147,15,0
44037850,0,1,1,0,2516,0,0,124370,177777,0,302,4311,1147,15,6000
44037851,0,1,1,0,0,0,0,124370,177777,0,302,4311,1147,15,6000
44037852,0,1,1,0,0,0,0,124370,177777,0,302,4311,1147,15,6000
44037853,0,1,1,0,0,0,0,124370,177777,0,302,4311,1147,15,6000
44037854,0,1,1,0,0,170777,170777,124370,177777,0,302,4311,1147,15,7707
44037855,0,1,1,0,0,170777,170777,124370,177777,0,302,4311,1147,15,7707
44037856,0,1,1,0,0,170777,170777,124370,177777,0,302,4311,1147,15,7707
44037857,0,1,1,0,0,170777,170777,124370,177777,0,302,4311,1147,15,7707
44037858,0,1,1,0,0,0,170777,124370,177777,0,302,4311,1147,15,7707
44037859,0,1,1,0,0,0,170777,124370,177777,0,302,4311,1147,15,7707
44037860,0,1,1,0,0,0,170777,124370,177777,0,302,4311,1147,15,7707
44037861,377,1,1,3,0,0,170777,170777,177777,0,302,4311,1147,15,0
44037862,377,1,1,3,0,0,0,170777,177777,0,302,4311,1147,15,0
44037863,377,1,1,3,0,0,0,170777,177777,0,302,4311,1147,15,2001
44037864,377,1,1,3,0,0,0,170777,177777,0,302,4311,1147,15,16517
44037865,377,1,1,3,0,0,0,170777,177777,0,302,4311,1147,15,16517
44037866,377,1,1,3,2517,0,0,170777,177777,0,302,4311,1147,15,0
44037867,377,1,1,3,2517,0,0,170777,177777,0,302,4311,1147,15,6000
44037868,377,1,1,3,0,0,0,170777,177777,0,302,4311,1147,15,6000
