tick,UART_DIN,UART_CE_n,UART_WR,UART_ADDR,MEMRD_ADDR,MEMRD_DATA,CD16,DBR,RA,RT,RD,RB,RX,CBWRITE,CMWRITE,CSA_12_0
71630333,0,1,1,3,0,0,0,147005,0,0,12611,1147,15,0,0,0
71630334,0,1,1,3,0,0,0,147005,0,0,12611,1147,15,0,0,0
71630335,0,1,1,3,2444,0,0,147005,0,0,12611,1147,15,0,0,0
71630336,0,1,1,3,2444,0,0,147005,0,0,12611,1147,15,0,0,6000
71630337,0,1,1,3,0,0,0,147005,0,0,12611,1147,15,0,0,6000
71630338,0,1,1,3,0,0,0,147005,0,0,12611,1147,15,0,0,6000
71630339,0,1,1,3,0,0,0,147005,0,0,12611,1147,15,0,0,6000
71630340,0,1,1,3,0,20364,20364,147005,0,0,12611,1147,15,0,0,6203
71630341,0,1,1,3,0,20364,20364,147005,0,0,12611,1147,15,0,0,6203
71630342,0,1,1,3,0,20364,20364,147005,0,0,12611,1147,15,0,0,6203
71630343,0,1,1,3,0,20364,20364,147005,0,0,12611,1147,15,0,0,6203
71630344,0,1,1,3,0,0,20364,147005,0,0,12611,1147,15,0,0,6203
71630345,0,1,1,3,0,0,20364,147005,0,0,12611,1147,15,0,0,6203
71630346,0,1,1,3,0,0,20364,147005,0,0,12611,1147,15,0,0,6203
71630347,0,1,1,0,0,0,20364,20364,0,0,12611,1147,15,0,0,152
71630348,0,1,1,0,0,0,0,20364,0,0,12611,1147,15,0,0,152
71630349,0,1,1,0,0,0,0,20364,0,0,12611,1147,15,0,0,145
71630350,0,1,1,0,0,0,0,20364,0,0,12611,1147,15,0,0,145
71630351,0,1,1,0,0,0,0,20364,0,0,12611,1147,15,0,0,145
71630352,0,1,1,0,2430,0,0,20364,0,0,12611,1147,15,0,0,145
71630353,0,1,1,0,2430,0,0,20364,0,0,12611,1147,15,0,1,145
71630354,0,1,1,0,0,0,0,20364,0,0,12611,1147,15,0,1,145
71630355,0,1,1,0,0,0,0,20364,0,0,12611,1147,15,0,1,145
71630356,211,1,1,3,0,0,12611,0,0,0,12611,1147,15,0,1,145
71630357,211,1,1,3,0,0,12611,0,0,0,12611,1147,15,0,1,145
71630358,211,1,1,3,0,0,12611,0,0,0,12611,1147,15,0,1,0
71630359,211,1,1,3,0,0,12611,0,0,0,12611,1147,15,0,1,0
71630360,211,1,1,3,0,0,12611,0,0,0,12611,1147,15,0,1,0
71630361,211,1,1,3,0,0,12611,0,0,0,12611,1147,15,0,1,0
71630362,211,1,1,3,0,0,12611,0,0,0,12611,1147,15,0,0,0
71630363,211,1,1,3,2431,0,12611,0,0,0,12611,1147,15,0,0,0
71630364,211,1,1,3,2431,0,12611,0,0,0,12611,1147,15,0,1,0
71630365,211,1,1,3,0,0,12611,0,0,0,12611,1147,15,0,1,0
71630366,211,1,1,3,12611,0,12611,0,0,0,12611,1147,15,0,1,0
71630367,0,1,1,3,12611,0,0,0,0,0,12611,1147,15,0,1,0
71630368,0,1,1,3,12611,0,0,0,0,0,12611,1147,15,0,1,0
71630369,0,1,1,3,12611,0,0,0,0,0,12611,1147,15,0,1,2001
71630370,0,1,1,3,12611,0,0,0,0,0,12611,1147,15,0,1,16445
71630371,0,1,1,3,12611,0,0,0,0,0,12611,1147,15,0,1,16445
71630372,0,1,1,3,12611,0,0,0,0,0,12611,1147,15,0,1,0
71630373,0,1,1,3,0,0,0,0,0,0,12611,1147,15,0,0,0
