tick,UART_DIN,UART_CE_n,UART_WR,UART_ADDR,FIDBO,CD16,RP,RD,RB,RL,RA,RT,RX,CSA_12_0
44040709,111,0,1,0,111,111,3044,55672,7732,3026,111,305,7544,476
# MARK wr tick=44040709
44040710,111,0,1,0,111,111,3044,55672,7732,3026,111,305,7544,476
44353219,116,0,1,0,116,116,3044,55672,7732,3026,116,305,7544,476
# MARK wr tick=44353219
44353220,116,0,1,0,116,116,3044,55672,7732,3026,116,305,7544,476
44650283,123,0,1,0,123,123,3044,55672,7732,3026,123,305,7544,476
# MARK wr tick=44650283
44650284,123,0,1,0,123,123,3044,55672,7732,3026,123,305,7544,476
44947243,124,0,1,0,124,124,3044,55672,7732,3026,124,305,7544,476
# MARK wr tick=44947243
44947244,124,0,1,0,124,124,3044,55672,7732,3026,124,305,7544,476
45242899,122,0,1,0,122,122,3044,55672,7732,3026,122,305,7544,476
# MARK wr tick=45242899
45242900,122,0,1,0,122,122,3044,55672,7732,3026,122,305,7544,476
45539542,125,0,1,0,125,125,3044,55672,7732,3026,125,305,7544,476
# MARK wr tick=45539542
45539543,125,0,1,0,125,125,3044,55672,7732,3026,125,305,7544,476
45851966,103,0,1,0,103,103,3044,55672,7732,3026,103,305,7544,476
# MARK wr tick=45851966
45851967,103,0,1,0,103,103,3044,55672,7732,3026,103,305,7544,476
46148508,124,0,1,0,124,124,3044,55672,7732,3026,124,305,7544,476
# MARK wr tick=46148508
46148509,124,0,1,0,124,124,3044,55672,7732,3026,124,305,7544,476
46454274,111,0,1,0,111,111,3044,55672,7732,3026,111,305,7544,476
# MARK wr tick=46454274
46454275,111,0,1,0,111,111,3044,55672,7732,3026,111,305,7544,476
46750865,117,0,1,0,117,117,3044,55672,7732,3026,117,305,7544,476
# MARK wr tick=46750865
46750866,117,0,1,0,117,117,3044,55672,7732,3026,117,305,7544,476
47047495,116,0,1,0,116,116,3044,55672,7732,3026,116,305,7544,476
# MARK wr tick=47047495
47047496,116,0,1,0,116,116,3044,55672,7732,3026,116,305,7544,476
47351486,15,0,1,0,15,15,3044,55672,7671,3026,15,305,7503,476
# MARK wr tick=47351486
47351487,15,0,1,0,15,15,3044,55672,7671,3026,15,305,7503,476
