tick,UART_DIN,UART_ADDR,UART_CE_n,UART_WR,IOIDB8,CD16,FIDBO,THR,CSA_12_0
44040708,141,0,1,1,141,30141,30141,76,476
44040709,111,0,0,1,111,111,111,76,476
# MARK wr tick=44040709
44040710,111,0,0,1,111,111,111,111,476
44040711,111,0,0,1,111,111,111,111,0
44353218,141,0,1,1,141,30141,30141,111,476
44353219,116,0,0,1,116,116,116,111,476
# MARK wr tick=44353219
44353220,116,0,0,1,116,116,116,116,476
44353221,116,0,0,1,116,116,116,116,0
44650282,141,0,1,1,141,30141,30141,116,476
44650283,123,0,0,1,123,123,123,116,476
# MARK wr tick=44650283
44650284,123,0,0,1,123,123,123,123,476
44650285,123,0,0,1,123,123,123,123,0
44947242,141,0,1,1,141,30141,30141,123,476
44947243,124,0,0,1,124,124,124,123,476
# MARK wr tick=44947243
44947244,124,0,0,1,124,124,124,124,476
44947245,124,0,0,1,124,124,124,124,0
45242898,141,0,1,1,141,30141,30141,124,476
45242899,122,0,0,1,122,122,122,124,476
# MARK wr tick=45242899
45242900,122,0,0,1,122,122,122,122,476
45242901,122,0,0,1,122,122,122,122,0
45539541,141,0,1,1,141,30141,30141,122,476
45539542,125,0,0,1,125,125,125,122,476
# MARK wr tick=45539542
45539543,125,0,0,1,125,125,125,125,476
45539544,125,0,0,1,125,125,125,125,0
45851965,141,0,1,1,141,30141,30141,125,476
45851966,103,0,0,1,103,103,103,125,476
# MARK wr tick=45851966
45851967,103,0,0,1,103,103,103,103,476
45851968,103,0,0,1,103,103,103,103,0
46148507,141,0,1,1,141,30141,30141,103,476
46148508,124,0,0,1,124,124,124,103,476
# MARK wr tick=46148508
46148509,124,0,0,1,124,124,124,124,476
46148510,124,0,0,1,124,124,124,124,0
46454273,141,0,1,1,141,30141,30141,124,476
46454274,111,0,0,1,111,111,111,124,476
# MARK wr tick=46454274
46454275,111,0,0,1,111,111,111,111,476
46454276,111,0,0,1,111,111,111,111,0
46750864,141,0,1,1,141,30141,30141,111,476
46750865,117,0,0,1,117,117,117,111,476
# MARK wr tick=46750865
46750866,117,0,0,1,117,117,117,117,476
46750867,117,0,0,1,117,117,117,117,0
47047494,141,0,1,1,141,30141,30141,117,476
47047495,116,0,0,1,116,116,116,117,476
# MARK wr tick=47047495
47047496,116,0,0,1,116,116,116,116,476
47047497,116,0,0,1,116,116,116,116,0
47351485,141,0,1,1,141,30141,30141,116,476
47351486,15,0,0,1,15,15,15,116,476
# MARK wr tick=47351486
47351487,15,0,0,1,15,15,15,15,476
47351488,15,0,0,1,15,15,15,15,0
47377232,141,0,1,1,141,30141,30141,15,476
47377233,12,0,0,1,12,12,12,15,476
# MARK wr tick=47377233
47377234,12,0,0,1,12,12,12,12,476
47377235,12,0,0,1,12,12,12,12,0
71274298,141,0,1,1,141,30141,30141,12,476
71274299,15,0,0,1,15,15,15,12,476
# MARK wr tick=71274299
71274300,15,0,0,1,15,15,15,15,476
71274301,15,0,0,1,15,15,15,15,0
71300031,141,0,1,1,141,30141,30141,15,476
71300032,12,0,0,1,12,12,12,15,476
# MARK wr tick=71300032
71300033,12,0,0,1,12,12,12,12,476
71300034,12,0,0,1,12,12,12,12,0
71331864,141,0,1,1,141,30141,30141,12,476
71331865,40,0,0,1,40,40,40,12,476
# MARK wr tick=71331865
71331866,40,0,0,1,40,40,40,40,476
71331867,40,0,0,1,40,40,40,40,0
71363775,141,0,1,1,141,30141,30141,40,476
71363776,15,0,0,1,15,15,15,40,476
# MARK wr tick=71363776
71363777,15,0,0,1,15,15,15,15,476
71363778,15,0,0,1,15,15,15,15,0
71389527,141,0,1,1,141,30141,30141,15,476
71389528,12,0,0,1,12,12,12,15,476
# MARK wr tick=71389528
71389529,12,0,0,1,12,12,12,12,476
71389530,12,0,0,1,12,12,12,12,0
71421279,141,0,1,1,141,30141,30141,12,476
71421280,40,0,0,1,40,40,40,12,476
# MARK wr tick=71421280
71421281,40,0,0,1,40,40,40,40,476
71421282,40,0,0,1,40,40,40,40,0
71447441,141,0,1,1,141,30141,30141,40,476
71447442,40,0,0,1,40,40,40,40,476
# MARK wr tick=71447442
71447443,40,0,0,1,40,40,40,40,476
71447444,40,0,0,1,40,40,40,40,0
71479161,141,0,1,1,141,30141,30141,40,476
